"","699
008","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
009","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","699
010","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Directed Studies","Course Total","","10","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"BIOLOGY
205","Dept. Total","","22","3.967","90.9","4.5","",".","",".","",".","",".","",".","",".","",".",".","",".","4.5","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","17","3.959","88.2","5.9","",".","",".","",".","",".","",".","",".","",".",".","",".","5.9","",".",".",".","."
"Undergraduates","","","21","3.965","90.5","4.8","",".","",".","",".","",".","",".","",".","",".",".","",".","4.8","",".",".",".","."
"Special","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","22","3.967","90.9","4.5","",".","",".","",".","",".","",".","",".","",".",".","",".","4.5","",".",".",".","."
