"MED","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"616
MD GENET","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Human Genetics","565
001","4","2.667",".",".","50.0",".","25.0","",".","",".",".",".",".",".",".","25.0",".",".","."
"","677
003","5","3.300","40.0","20.0","20.0",".","20.0","",".","",".",".",".",".",".",".",".",".",".","."
"","677
006","46","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","677
007","32","4.000","96.9",".",".",".",".","",".","",".",".",".",".",".",".","3.1",".",".","."
"","677
008","18","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","677
009","27","3.815","81.5","3.7","11.1","3.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"","677
010","25","3.977","84.0","4.0",".",".",".","",".","",".",".",".",".",".",".","8.0","4.0",".","."
"","677
011","16","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","677
014","37","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","677
015","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","677
017","18","4.000","94.4",".",".",".",".","",".","",".",".",".",".",".",".",".",".","5.6","."
"Advanced Topics in Genetics","Course Total","231","3.970","93.9","1.3","1.7","0.4","0.4","",".","",".",".",".",".",".",".","1.3","0.4","0.4","."
"Independent Reading","699
071","11","4.000","81.8",".",".",".",".","",".","",".",".",".",".",".",".","18.2",".",".","."
"Practicum-Genetic Counselng","713
005","5","3.900","80.0","20.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Clinical Genetics","731
001","5","3.600","40.0","40.0","20.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.850","70.0","30.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Lit Search Strategies&Analysis","739
001","5","3.800","60.0","40.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Biochm Genetics for Counselors","744
001","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","813
005","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Research","990
048","5","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Seminar in Genetics","993
002","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"616
MD GENET","Dept. Total","291","3.944","88.3","3.8","2.4","0.3","0.7","",".","",".","1.7",".",".",".",".","2.1","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","53","4.000","98.1",".",".",".",".","",".","",".",".",".",".",".",".","1.9",".",".","."
"Junior","","80","3.934","90.0","1.3","3.8","1.3",".","",".","",".",".",".",".",".",".","1.3","1.3","1.3","."
"Senior","","104","3.964","93.3","1.0","1.0",".","1.0","",".","",".",".",".",".",".",".","3.8",".",".","."
"Undergraduates","","239","3.962","93.3","0.8","1.7","0.4","0.4","",".","",".",".",".",".",".",".","2.5","0.4","0.4","."
"Graduate","","52","3.818","65.4","17.3","5.8",".","1.9","",".","",".","9.6",".",".",".",".",".",".",".","."
"","Dept. Total","291","3.944","88.3","3.8","2.4","0.3","0.7","",".","",".","1.7",".",".",".",".","2.1","0.3","0.3","."
