"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"900
SOC","","Grades","GPA","","","","","","","","","","","","","","","",""
"","210
001 305","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001 306","14","3.286","21.4","42.9","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","210
001 307","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001 301","14","3.500","35.7","35.7","14.3",".",".","7.1",".",".",".",".",".",".",".","7.1",".","."
"","210
001 308","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001 309","14","3.321","35.7","28.6","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","210
001 310","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001 302","14","3.214","14.3","35.7","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","Course Total","125","3.420","31.2","36.0","21.6","5.6","4.0","0.8",".",".",".",".",".",".",".","0.8",".","."
"The Sociological Enterprise","211
001","103","3.316","26.2","31.1","34.0","1.0","4.9","1.9","1.0",".",".",".",".",".",".",".",".","."
"","220
001 304","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 302","11","3.455","45.5","9.1","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 303","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001 301","11","3.318","36.4","45.5","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","Course Total","49","3.520","40.8","38.8","14.3","4.1",".",".","2.0",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","28","3.018","21.4","10.7","32.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","21","3.333","14.3","38.1","23.8","9.5",".",".",".",".",".",".",".",".","14.3",".",".","."
"","244
001 302","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 305","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 301","2","2.750",".","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".","."
"","244
001 303","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 304","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","Course Total","10","3.550","40.0","50.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Rsrce & Communty","248
002","20","3.425","40.0","15.0","40.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Organizations and Society","250
001","33","3.613","48.5","24.2","15.2","6.1",".",".",".","6.1",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001 301","55","3.075","25.5","16.4","21.8","12.7","14.5","5.5",".",".",".",".",".",".","3.6",".",".","."
"","277
001 304","4","2.750",".","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 307","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 305","5","1.700",".",".",".","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".","."
"","277
001 309","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 301","5","2.500",".","20.0","20.0",".","20.0","40.0",".",".",".",".",".",".",".",".",".","."
"","277
001 308","4","2.875","25.0","25.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 302","2","2.250",".",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 310","3","2.500",".",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"","277
001 303","2","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","Course Total","28","2.411","7.1","14.3","7.1","10.7","46.4","10.7","3.6",".",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327
001","17","3.281","23.5","35.3","11.8","17.6","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","357
001","33","3.414","12.1","51.5","21.2","3.0",".",".",".",".",".",".",".",".","12.1",".",".","."
"","357
002","29","3.103","17.2","24.1","27.6","24.1","6.9",".",".",".",".",".",".",".",".",".",".","."
"","357
003","36","3.559","30.6","47.2","13.9","2.8",".",".",".",".",".",".",".",".","5.6",".",".","."
"","357
004","33","3.318","30.3","30.3","15.2","21.2",".","3.0",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","131","3.356","22.9","38.9","19.1","12.2","1.5","0.8",".",".",".",".",".",".","4.6",".",".","."
"","360
001 302","21","3.333","23.8","38.1","28.6",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","360
001 301","19","3.053","31.6","15.8","15.8","5.3","21.1","10.5",".",".",".",".",".",".",".",".",".","."
"","Section Total","40","3.200","27.5","27.5","22.5","2.5","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","360
002 322","26","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002 321","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 338 of 441",""
