"Fall 2002-2003","","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"RURAL SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","N","NR","Other"
"864
RUR SOC","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Intro-Rural Sociol&Development","140","001","","46","2.859","21.7","10.9","23.9","4.3","39.1","",".",".",".","",".",".","",".","",".",".",".",".","."
"","210","001 310","","2","3.250",".","50.0","50.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","210","001 306","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","210","001 303","","2","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Survey of Sociology","","Course Total","","5","3.200",".","40.0","60.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Ag&Soc Change-Western Hist","230","001","","28","3.222","32.1","14.3","17.9","28.6","3.6","",".",".","3.6","",".",".","",".","",".",".",".",".","."
"Envir, Nat Rsrce & Communty","248","002","","10","3.100","30.0","20.0","40.0",".",".","",".","10.0",".","",".",".","",".","",".",".",".",".","."
"Independent Study","299","070","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Issues in Food Systems","340","001","","7","3.895","57.1","14.3",".",".",".","",".",".",".","",".",".","",".","",".","14.3","14.3",".","."
"","357","001","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","357","003","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Meth-Sociological Inquiry","","Course Total","","2","3.250",".","50.0","50.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","360","001 301","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","360","002 322","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","360","002 321","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","","Section Total","","2","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Stats for Sociologists I","","Course Total","","3","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Contemp Populatn Probs-Honors","380","001","","2","3.500","50.0",".","50.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","005","","1","",".",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","100.0","."
"Social Ecol of Amazon Basin","613","001","","4","3.375","50.0",".","25.0","25.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Community Development","617","001","","13","3.250","38.5","7.7","15.4","23.1","7.7","",".",".",".","",".",".","",".","",".","7.7",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","7","3.800","57.1",".","14.3",".",".","",".",".",".","",".",".","",".","",".","14.3","14.3",".","."
"Sociology of Agriculture","650","001","","7","3.929","85.7","14.3",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"App Demogrphy-Amer Demgrphy","676","001","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Problems","699","014","","1","2.500",".",".",".","100.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Environmental Sociology","748","001","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","875","001","","10","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr: Envir & Resource Soc","948","001","","6","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Rsch:Sci,Tech,Ag,Rscs&Envir","985","001","","2","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","025","","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","038","","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","070","","1","",".",".",".",".",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","075","","1","",".",".",".",".",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
"Research","","Course Total","","4","",".",".",".",".",".","",".",".","50.0","",".",".","",".","50.0","",".",".",".","."
"Reading and Research","999","071","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
