"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"778
POLI SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"African Intl Relations","362
001","32","2.922","18.8","12.5","25.0","34.4","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"","401
001","16","3.406","43.8","31.3","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","401
003","16","3.846","62.5","12.5","6.3",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"","401
049","12","3.395","33.3","25.0","25.0",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Selected Topics-Poli Sci","Course Total","44","3.547","47.7","22.7","15.9",".","2.3",".","2.3",".",".",".",".",".","9.1",".",".","."
"","404
001 302","23","3.478","47.8","17.4","21.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","404
001 303","19","3.079","15.8","21.1","42.1","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","404
001 304","26","3.038","11.5","34.6","23.1","11.5","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"","404
001 305","25","3.220","24.0","32.0","20.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Amer Politics & Government","Course Total","93","3.204","24.7","26.9","25.8","9.7","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"","411
001 302","22","3.095","13.6","31.8","22.7","13.6","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","411
001 303","21","3.167","14.3","28.6","42.9","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","411
001 304","20","3.100","20.0","20.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","411
001 305","24","3.083","12.5","16.7","54.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","411
001 307","18","2.853",".","27.8","50.0",".","11.1",".","5.6",".",".",".",".",".","5.6",".",".","."
"","411
001 308","23","3.043","13.0","8.7","60.9","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","411
001 312","22","3.295","9.1","45.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001 310","22","3.205","9.1","40.9","36.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","411
001 313","20","2.925","10.0","10.0","55.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","411
001 311","14","3.071","14.3","7.1","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001 306","21","3.000","9.5","23.8","38.1","4.8","19.0",".",".",".",".",".",".",".",".",".","4.8","."
"","411
001 309","21","3.310","14.3","42.9","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law","Course Total","248","3.102","11.7","25.8","43.5","8.1","8.5","0.8","0.4","0.4",".",".",".",".","0.4",".","0.4","."
"American Judicial System","417
001","56","3.286","10.7","46.4","33.9","7.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"Amer Parties & Politics","424
001","57","3.000","15.8","21.1","24.6","24.6","7.0","1.8","1.8","1.8",".",".",".",".","1.8",".",".","."
"Legislative Internship","427
001","29","3.241","13.8","31.0","44.8","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","467
001","20","3.632","35.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"","470
001 307","23","3.364","26.1","30.4","30.4","4.3",".","4.3",".",".",".",".",".",".","4.3",".",".","."
"","470
001 305","23","3.450","34.8","21.7","17.4","13.0",".",".",".","4.3",".",".",".",".","4.3","4.3",".","."
"","470
001 304","21","3.310","19.0","33.3","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001 309","20","3.263","20.0","30.0","30.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","470
001 306","29","3.209","17.2","24.1","44.8","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","470
001 302","21","3.024","4.8","28.6","38.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
