"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","Section Total","121","2.555","13.2","12.4","19.8","14.9","15.7","12.4","9.1",".",".",".",".",".","2.5",".",".","."
"","171
002 332","16","2.875","18.8","18.8","12.5","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","171
002 321","22","2.455","13.6","13.6","9.1","31.8","4.5","13.6","13.6",".",".",".",".",".",".",".",".","."
"","171
002 322","17","2.588","29.4","11.8","11.8","11.8","11.8","5.9","17.6",".",".",".",".",".",".",".",".","."
"","171
002 326","19","2.658","5.3","5.3","31.6","31.6","15.8","10.5",".",".",".",".",".",".",".",".",".","."
"","171
002 327","18","2.222","11.1","5.6","22.2","5.6","16.7","22.2","16.7",".",".",".",".",".",".",".",".","."
"","171
002 330","9","2.111",".","11.1","11.1","11.1","22.2","33.3","11.1",".",".",".",".",".",".",".",".","."
"","171
002 329","21","2.333","19.0","9.5","14.3","9.5","19.0","9.5","19.0",".",".",".",".",".",".",".",".","."
"","171
002 328","23","2.152",".","4.3","13.0","8.7","30.4","39.1","4.3",".",".",".",".",".",".",".",".","."
"","171
002 324","21","2.714","14.3","14.3","23.8","14.3","19.0","9.5","4.8",".",".",".",".",".",".",".",".","."
"","Section Total","166","2.464","12.7","10.2","16.9","16.3","18.1","16.3","9.6",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig I","Course Total","287","2.502","12.9","11.1","18.1","15.7","17.1","14.6","9.4",".",".",".",".",".","1.0",".",".","."
"","210
001 303","22","2.386","13.6",".","27.3","4.5","31.8","13.6","9.1",".",".",".",".",".",".",".",".","."
"","210
001 313","20","2.725","25.0","5.0","25.0",".","35.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","210
001 304","21","2.595","9.5",".","38.1","4.8","28.6","19.0",".",".",".",".",".",".",".",".",".","."
"","210
001 314","20","2.725","15.0","10.0","35.0","5.0","30.0",".","5.0",".",".",".",".",".",".",".",".","."
"","210
001 311","23","2.522","13.0","4.3","21.7","13.0","30.4","13.0","4.3",".",".",".",".",".",".",".",".","."
"","210
001 312","22","2.762","18.2","4.5","27.3","4.5","36.4","4.5",".",".",".",".",".",".","4.5",".",".","."
"","210
001 301","17","3.235","47.1","5.9","17.6","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","210
001 302","19","3.083","26.3","10.5","31.6","5.3","21.1",".",".",".",".",".",".",".","5.3",".",".","."
"","Section Total","164","2.731","20.1","4.9","28.0","5.5","29.3","7.9","3.0",".",".",".",".",".","1.2",".",".","."
"","210
002 322","20","3.075","25.0","20.0","20.0","15.0","5.0","15.0",".",".",".",".",".",".",".",".",".","."
"","210
002 324","24","3.458","50.0","25.0","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","210
002 323","26","3.580","53.8","19.2","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","210
002 321","22","3.523","50.0","22.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","Section Total","92","3.423","45.7","21.7","13.0","7.6","4.3","6.5",".",".",".",".",".",".",".",".",".","."
"","210
003 336","21","2.571","4.8","19.0","23.8","28.6","4.8","9.5","9.5",".",".",".",".",".",".",".",".","."
"","210
003 335","21","2.905","9.5","28.6","14.3","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","210
003 332","24","2.875","8.3","16.7","37.5","16.7","20.8",".",".",".",".",".",".",".",".",".",".","."
"","210
003 331","22","2.795","9.1","18.2","18.2","31.8","9.1","13.6",".",".",".",".",".",".",".",".",".","."
"","Section Total","88","2.790","8.0","20.5","23.9","26.1","12.5","6.8","2.3",".",".",".",".",".",".",".",".","."
"","210
004 344","21","3.167","33.3","4.8","42.9",".","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","210
004 343","21","2.976","23.8","4.8","42.9",".","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"","210
004 341","21","2.786","19.0","4.8","42.9",".","28.6",".","4.8",".",".",".",".",".",".",".",".","."
"","210
004 342","24","3.208","33.3","16.7","29.2",".","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"","Section Total","87","3.040","27.6","8.0","39.1",".","19.5","4.6","1.1",".",".",".",".",".",".",".",".","."
"","210
005 351","22","3.205","27.3","22.7","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","210
005 354","21","3.143","19.0","14.3","52.4","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","210
005 353","22","3.432","40.9","18.2","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005 352","20","2.875","15.0","15.0","30.0","10.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"","Section Total","85","3.171","25.9","17.6","32.9","11.8","9.4","2.4",".",".",".",".",".",".",".",".",".","."
"","210
006 361","20","3.400","45.0","10.0","30.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","210
006 362","21","3.238","38.1","14.3","19.0","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","210
006 363","22","2.886","22.7","13.6","27.3","9.1","13.6","9.1","4.5",".",".",".",".",".",".",".",".","."
"","210
006 364","25","2.960","20.0","16.0","28.0","8.0","24.0","4.0",".",".",".",".",".",".",".",".",".","."
"","Section Total","88","3.108","30.7","13.6","26.1","10.2","13.6","4.5","1.1",".",".",".",".",".",".",".",".","."
"","210
007 374","22","3.136","36.4","13.6","22.7","13.6","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"","210
007 371","23","3.109","17.4","17.4","43.5","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","210
007 372","22","3.205","36.4","27.3","9.1","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 278 of 441",""
