"EDU","","","","","","","","","","","","","","","","","","","","",""
"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","N","NR","Other"
"194
RP & SE","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Smr: Rehab Psych Research","700
001","11","3.909","90.9",".","9.1",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rsch, Pol & Prac-Spec Educ","801
001","7","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnslg Psych-Technique","810
001","10","3.690","50.0","40.0","10.0",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Consultation Proc-Counselor","850
001","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"","860
001","10","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"","860
002","7","3.857","71.4","28.6",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","17","3.941","88.2","11.8",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 1","880
001","6","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 2","890
001","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 3","900
018","6","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Psychosocial Thry&Research","903
012","10","3.950","90.0","10.0",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Internship","910
001","6","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Cnsl Supvn","920
014","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"","921
006","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"","921
016","1","",".",".",".",".",".",".","",".",".",".",".","",".",".","100.0",".",".","."
"Internship: Adv Prof Pract","Course Total","2","4.000","50.0",".",".",".",".",".","",".",".",".",".","",".",".","50.0",".",".","."
"","930
010","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"","930
015","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","2","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Rehab Cnsl Psych-Supv Rsch","940
018","2","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Internship: Research","941
006","2","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"","990
004","1","",".",".",".",".",".",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990
006","4","",".",".",".",".",".",".","",".","25.0",".",".","",".","75.0",".",".",".","."
"","990
009","4","",".",".",".",".",".",".","",".","25.0",".",".","",".","75.0",".",".",".","."
"","990
013","3","",".",".",".",".",".",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990
014","2","",".",".",".",".",".",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990
015","1","",".",".",".",".",".",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990
016","4","",".",".",".",".",".",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990
017","1","",".",".",".",".",".",".","",".",".","100.0",".","",".",".",".",".",".","."
"","990
018","4","",".",".",".",".",".",".","",".",".",".",".","",".","100.0",".",".",".","."
"Research or Thesis","Course Total","24","",".",".",".",".",".",".","",".","41.7","4.2",".","",".","54.2",".",".",".","."
"Independent Reading","999
004","1","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"194
RP & SE","Dept. Total","625","3.850","72.2","15.0","4.6","1.8","0.2","0.2","",".","2.7","0.2",".","",".","2.6","0.6",".",".","."
