"URBAN AND REGIONAL PLANNIN Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"944
URB R PL","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","305
001 302","","2","3.000","50.0",".",".",".","50.0","",".",".",".",".",".",".",".",".",".",".","."
"","305
001 303","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","305
001 304","","3","2.667",".",".","66.7",".","33.3","",".",".",".",".",".",".",".",".",".",".","."
"","305
001 301","","2","2.000",".",".",".",".","100.0","",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","Course Total","","9","2.833","22.2","11.1","22.2",".","44.4","",".",".",".",".",".",".",".",".",".",".","."
"","306
001 305","","1","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","306
001 301","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","306
001 308","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","3","3.333",".","66.7","33.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","","3","2.667",".",".","33.3","66.7",".","",".",".",".",".",".",".",".",".",".",".","."
"Rsch the City: Qual Strategies","503
001","","5","3.500","20.0","60.0","20.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","","9","3.389","33.3","33.3","11.1","22.2",".","",".",".",".",".",".",".",".",".",".",".","."
"Community Development","617
001","","11","3.545","36.4","36.4","27.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Urbanism and Urbanization","677
001","","6","2.833",".","33.3","16.7","33.3","16.7","",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
005","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Directed Study","Course Total","","2","4.000","50.0",".",".",".",".","",".",".",".",".",".",".",".","50.0",".",".","."
"Leadership Dynamics","705
001","","5","3.750","40.0","40.0",".",".",".","",".",".",".",".",".",".",".","20.0",".",".","."
"","721
001 301","","13","3.346","38.5","38.5","15.4",".",".","",".","7.7",".",".",".",".",".",".",".",".","."
"","721
002 302","","15","3.400","26.7","40.0","20.0","13.3",".","",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","Course Total","","28","3.375","32.1","39.3","17.9","7.1",".","",".","3.6",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734
001","","10","3.350","20.0","30.0","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Planning","741
001","","30","3.845","66.7","30.0",".",".",".","",".",".","3.3",".",".",".",".",".",".",".","."
"Energy Analys & Policy Smr","809
001","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Land Use & Com Sys Planning","839
001","","14","3.792","50.0","35.7",".",".",".","",".",".",".",".",".",".",".","7.1","7.1",".","."
"Land Use Policy & Planning","843
001","","25","3.563","32.0","44.0","20.0",".",".","",".",".",".",".",".",".",".",".","4.0",".","."
"","969
001","","9","3.750","22.2","22.2",".",".",".","",".",".",".",".",".",".",".","55.6",".",".","."
"","969
002","","10","3.850","70.0","30.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","969
003","","9","3.875","66.7","22.2",".",".",".","",".",".",".",".",".",".",".","11.1",".",".","."
"Smr:Trends&Iss-Public Plan","Course Total","","28","3.841","53.6","25.0",".",".",".","",".",".",".",".",".",".",".","21.4",".",".","."
"","990
004","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","990
009","","3","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","990
010","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","990
018","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"Research and Thesis","Course Total","","6","",".",".",".",".",".","",".",".","16.7",".",".",".","83.3",".",".",".","."
"","999
004","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","999
012","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","999
013","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","999
018","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","999
019","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Work","Course Total","","8","4.000","87.5",".",".",".",".","",".",".",".",".",".",".",".","12.5",".",".","."
