"EDU","","","","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES) Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","N","NR","Other"
"939
THER SCI","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI
Dept. Total","320","3.732","51.3","19.7","8.4","1.6","1.9","",".","0.3","1.3","",".","14.1","",".","0.9","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","12","3.333","41.7","33.3","16.7",".",".","",".","8.3",".","",".",".","",".",".","",".",".",".","."
"Sophomore","25","3.519","48.0","20.0","24.0",".","8.0","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","70","3.850","74.3","17.1","5.7",".","2.9","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","203","3.710","45.3","20.7","7.4","2.5","1.0","",".",".",".","",".","22.2","",".",".","",".",".",".","."
"Undergraduates","310","3.730","51.9","20.3","8.7","1.6","1.9","",".","0.3",".","",".","14.5","",".",".","",".",".",".","."
"Special","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","5","4.000","20.0",".",".",".",".","",".",".","20.0","",".",".","",".","60.0","",".",".",".","."
"Prof Yr 2","3","",".",".",".",".",".","",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","3","",".",".",".",".",".","",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Dept. Total","320","3.732","51.3","19.7","8.4","1.6","1.9","",".","0.3","1.3","",".","14.1","",".","0.9","",".",".",".","."
