"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"242
ACT SCI","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","300
001","","10","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","300
002","","11","3.833","63.6","9.1","9.1",".",".",".",".","",".","",".",".","",".","",".","9.1","9.1",".","."
"Actuarial Science Methods","Course Total","","21","3.921","81.0","4.8","4.8",".",".",".",".","",".","",".",".","",".","",".","4.8","4.8",".","."
"Actuarial Mathematics 1","650
001","","35","3.515","42.9","22.9","22.9","8.6",".",".",".","",".","",".",".","",".","",".","2.9",".",".","."
"Risk Theory and Credibility","652
001","","29","2.810","20.7","13.8","20.7","10.3","20.7","10.3","3.4","",".","",".",".","",".","",".",".",".",".","."
"242
ACT SCI","Dept. Total","","85","3.257","44.7","15.3","17.6","7.1","7.1","3.5","1.2","",".","",".",".","",".","",".","2.4","1.2",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","1","2.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","17","3.453","58.8","11.8","11.8","5.9","5.9",".",".","",".","",".",".","",".","",".",".","5.9",".","."
"Senior","","","50","3.101","36.0","18.0","18.0","8.0","10.0","4.0","2.0","",".","",".",".","",".","",".","4.0",".",".","."
"Undergraduates","","","69","3.156","42.0","15.9","15.9","7.2","8.7","4.3","1.4","",".","",".",".","",".","",".","2.9","1.4",".","."
"Graduate","","","16","3.594","56.3","12.5","25.0","6.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","85","3.257","44.7","15.3","17.6","7.1","7.1","3.5","1.2","",".","",".",".","",".","",".","2.4","1.2",".","."
