"HISTORY","","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","N","NR","Other"
"448
HISTORY","","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","",""
"","699","023","1
4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699","026","1
4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699","028","3
4.000","66.7",".","",".",".","",".","",".","",".",".","",".",".","",".",".","33.3",".",".","."
"","699","031","1
2.500",".",".","",".","100.0","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699","033","2
4.000","50.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","50.0",".",".","."
"","699","038","1",".",".","",".",".","",".","",".","",".",".","",".",".","",".",".","100.0",".",".","."
"","699","039","1
4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699","040","1
3.500",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699","044","1
3.000",".",".","100.0","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699","046","1
4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","699","081","1
3.000",".",".","100.0","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Directed Study","","Course Total","22
3.581","45.5","18.2","","9.1","4.5","",".","",".","",".",".","",".",".","",".",".","22.7",".",".","."
"History and Theory","703","001","17
3.853","76.5","17.6","","5.9",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Erly Mod Eurp His,1500-1789","707","001","5
3.900","80.0","20.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prosem-Latin Amer History","730","002","11
3.875","72.7","27.3","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prosem-S E Asian History","755","001","5
4.000","80.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","20.0",".",".","."
"Interdis W Europ Studies Sm","804","001","4
3.875","75.0","25.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Smr: Mod Britain & Ireland","837","001","6
3.750","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Seminar-History of Africa","861","001","10
3.904","70.0","20.0","",".",".","",".","",".","",".",".","",".",".","",".",".","10.0",".",".","."
"Smr-Soc Hist Modern Europe","866","001","14
3.806","57.1","35.7","",".",".","",".","",".","",".",".","",".",".","",".",".","7.1",".",".","."
"Smr-Modern French History","868","001","13
3.875","46.2","15.4","",".",".","",".","",".","",".",".","",".",".","",".",".","38.5",".",".","."
"","901","001","12
3.375","25.0","33.3","33.3","","8.3","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","901","002","19
3.917","84.2","5.3","","5.3",".","",".","",".","",".",".","",".",".","",".",".","5.3",".",".","."
"Studies in American History","","Course Total","31
3.700","61.3","16.1","16.1","","3.2","",".","",".","",".",".","",".",".","",".",".","3.2",".",".","."
"Rsch Smr: American History","902","001","5
4.000","80.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","20.0",".",".","."
"Prosem-History of Education","906","001","4
3.875","75.0","25.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Smr-History American West","965","001","19
4.000","89.5",".","",".",".","",".","",".","",".",".","",".",".","",".",".","10.5",".",".","."
"Smr-Latin American Area","982","001","14
3.786","64.3","28.6","","7.1",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","990","001","2",".",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0",".",".",".","."
"","990","002","3",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","004","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","005","4",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","008","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","009","4",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990","010","3",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990","011","2",".",".","",".",".","",".","",".","",".","50.0","",".",".","",".","50.0",".",".",".","."
"","990","012","10",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990","013","1",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","014","4",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","015","6",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990","016","2",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990","017","3",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","020","2",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","021","4",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","022","4",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990","026","3",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"","990","028","2",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","","Page 251 of 441",""
