"L&S","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"551
LITTRANS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","275
002","246","3.448","18.7","58.1","15.0","4.9","1.2",".",".","0.8",".",".",".",".","1.2",".",".","."
"","Section Total","299","3.436","18.1","57.9","16.1","4.3","1.3","0.3",".","0.7",".",".",".",".","1.3",".",".","."
"","275
003 306","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","Course Total","403","3.436","17.6","57.6","17.1","4.2","1.2","0.2",".","0.5",".",".",".",".","1.5",".",".","."
"Turkish Lit in Translation","323
001","10","3.722","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Lit in Transl-Isak Dinesen","334
001","22","3.712","50.0","18.2","9.1","4.5",".",".",".",".",".",".",".",".","18.2",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","8","3.000","12.5","25.0","12.5","25.0","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Kalevala&Finn Folklr-Transl","347
001","3","3.400","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","357
001","24","3.475","20.8","37.5","25.0",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Topics in Japanese Lit","373
001","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
LITTRANS","Dept. Total","1335","3.403","28.9","36.6","21.0","7.0","2.5","0.7","0.5","0.7",".",".",".",".","1.9","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","247","3.302","25.1","32.0","27.1","10.1","2.8","0.8","0.8",".",".",".",".",".","1.2",".",".","."
"Sophomore","","525","3.411","26.7","41.0","21.0","5.3","2.5","1.1","0.2",".",".",".",".",".","2.3",".",".","."
"Junior","","318","3.395","28.0","38.1","19.8","8.5","1.6","0.3","0.9","0.6",".",".",".",".","1.9","0.3",".","."
"Senior","","239","3.503","38.9","31.0","16.7","5.9","2.9","0.4","0.4","1.7",".",".",".",".","1.7","0.4",".","."
"Undergraduates","","1329","3.403","28.9","36.8","21.1","7.1","2.4","0.8","0.5","0.5",".",".",".",".","1.9","0.2",".","."
"Special","","6","3.333","33.3",".",".",".","16.7",".",".","50.0",".",".",".",".",".",".",".","."
"","Dept. Total","1335","3.403","28.9","36.6","21.0","7.0","2.5","0.7","0.5","0.7",".",".",".",".","1.9","0.1",".","."
