"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"416
GEOG","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 305","13","3.000","15.4","7.7","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","101
001 306","14","2.964","14.3","28.6","28.6","21.4",".",".","7.1",".",".",".",".",".",".",".",".","."
"","101
001 303","14","2.536",".","14.3","57.1","7.1","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"","101
001 307","13","3.154","23.1","30.8","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","101
001 304","14","3.750","71.4","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","101
001 308","13","3.154","15.4","30.8","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 310","11","3.227","9.1","54.5","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 312","15","3.533","60.0","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","101
001 309","14","3.038","7.1","35.7","21.4","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"","101
001 302","11","2.955","18.2","18.2","27.3","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"","101
001 311","14","3.000","21.4","7.1","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","101
001 301","13","2.375",".","15.4","7.7","38.5","23.1",".","7.7",".",".",".",".",".",".",".","7.7","."
"Intro to Cultural Geog","Course Total","159","3.067","22.0","23.9","23.3","17.0","9.4",".","3.1","0.6",".",".",".",".",".",".","0.6","."
"","120
001","154","3.007","14.9","24.7","26.6","13.0","11.7","4.5","1.3","0.6",".",".",".",".",".",".","0.6","1.9"
"","120
002","156","2.916","12.2","25.0","20.5","22.4","12.8","5.1","1.3","0.6",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","310","2.961","13.5","24.8","23.5","17.7","12.3","4.8","1.3","0.6",".",".",".",".",".",".","0.3","1.0"
"Atmspherc Envirnmnt&Society","121
001","59","2.915","23.7","18.6","13.6","11.9","23.7","6.8","1.7",".",".",".",".",".",".",".",".","."
"","127
001 317","5","3.200","20.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001 308","2","2.000","50.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".",".","."
"","127
001 309","7","2.643","14.3","14.3",".","28.6","42.9",".",".",".",".",".",".",".",".",".",".","."
"","127
001 312","7","3.143","14.3","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","127
001 306","5","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001 320","7","2.857","14.3","14.3","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".",".","."
"","127
001 318","10","2.450",".","20.0","30.0","10.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","127
001 316","5","2.800","20.0",".","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","127
001 305","5","3.500","40.0","40.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001 307","4","2.875","25.0",".","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","127
001 304","2","2.750",".","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","127
001 311","2","2.250",".",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"","127
001 303","10","3.050","40.0","20.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"","127
001 313","3","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","127
001 315","4","3.125","25.0",".","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001 319","9","2.722","11.1","22.2",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"","127
001 310","6","2.583",".","16.7","33.3",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","127
001 301","10","2.444","10.0",".","20.0",".","40.0","20.0",".",".","10.0",".",".",".",".",".",".","."
"","Section Total","103","2.848","19.4","16.5","18.4","15.5","20.4","5.8","2.9",".","1.0",".",".",".",".",".",".","."
"","127
002 301","4","2.750",".","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","127
002 304","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","127
002 302","13","2.692","23.1","7.7","23.1","7.7","30.8",".","7.7",".",".",".",".",".",".",".",".","."
"","127
002 305","10","3.100","40.0","10.0","10.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","127
002 310","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","127
002 303","3","2.833",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","127
002 316","11","3.400","45.5","9.1","18.2","9.1","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"","127
002 320","5","2.600","20.0",".","20.0",".","60.0",".",".",".",".",".",".",".",".",".",".","."
"","127
002 319","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","127
002 308","12","3.000","16.7","33.3","33.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","127
002 317","10","3.000","20.0","30.0",".","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","127
002 306","7","3.000","14.3","28.6","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","127
002 315","10","3.050","40.0",".","20.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 231 of 441",""
