"ENVIRONMENT, TEXTILES & DESI Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"359
E T D","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Special Topics","Course Total","","62","3.402","54.8","21.0","9.7","8.1","3.2","",".","1.6","1.6",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","","4","3.500","25.0","50.0","25.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561
001","","25","3.460","32.0","36.0","24.0","8.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","601
007","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","601
015","","6","3.500","33.3","16.7","16.7",".",".","",".",".",".",".",".",".",".","33.3",".",".","."
"Internship","Course Total","","7","3.500","28.6","14.3","14.3",".",".","",".",".",".",".",".",".",".","42.9",".",".","."
"Interior Design IV","623
001 301","","9","3.944","88.9","11.1",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624
001 301","","13","3.192",".","53.8","30.8","15.4",".","",".",".",".",".",".",".",".",".",".",".","."
"Comparative World Costume","655
001","","19","3.158","31.6","26.3","15.8","15.8","5.3","",".","5.3",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
008","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","699
002","","8","3.900","75.0","25.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
007","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
008","","3","3.571","66.7",".","33.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
017","","3","3.700","66.7",".","33.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
030","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
032","","2","3.800","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
033","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.789","68.4","15.8","10.5",".",".","",".",".","5.3",".",".",".",".",".",".",".","."
"Literature of Design Theory","720
001","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Smr-Environmt,Textiles&Dsgn","920
001","","4","3.875","75.0","25.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","990
016","","2","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","999
008","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","999
013","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","999
032","","5","3.938","80.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.955","75.0","12.5",".",".",".","",".",".",".",".",".",".","12.5",".",".",".","."
"359
E T D","Dept. Total","","738","3.248","29.7","24.7","24.0","11.0","6.8","","1.4","0.7","0.7","0.1",".",".","0.3","0.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"359
E T D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","83","3.012","12.0","28.9","28.9","14.5","12.0","","2.4","1.2",".",".",".",".",".",".",".",".","."
"Sophomore","","","156","3.171","29.5","20.5","26.3","10.9","10.3","","1.9","0.6",".",".",".",".",".",".",".",".","."
"Junior","","","212","3.270","31.1","24.1","25.0","9.4","6.1","","2.4","0.5","0.5",".",".",".",".","0.9",".",".","."
"Senior","","","250","3.288","29.2","27.2","23.6","12.8","4.4","",".","0.8",".","0.4",".",".","0.4","1.2",".",".","."
"Undergraduates","","","701","3.223","27.8","25.0","25.2","11.6","7.1","","1.4","0.7","0.1","0.1",".",".","0.1","0.7",".",".","."
"Special","","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","","35","3.870","62.9","20.0",".",".",".","",".",".","11.4",".",".",".","2.9","2.9",".",".","."
"","Dept. Total","","738","3.248","29.7","24.7","24.0","11.0","6.8","","1.4","0.7","0.7","0.1",".",".","0.3","0.8",".",".","."
