"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"754
PHYSICS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","207
001 303 6","9","2.875","11.1","11.1","33.3","11.1","22.2",".",".",".",".",".",".",".","11.1",".",".","."
"","207
001 304 6","22","2.900","4.5","22.7","36.4","4.5","22.7",".",".",".",".",".",".",".","9.1",".",".","."
"","207
001 312 6","10","2.700",".","10.0","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","207
001 309 6","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","207
001 305 6","23","2.886","17.4","4.3","39.1","26.1","4.3",".","4.3",".",".",".",".",".","4.3",".",".","."
"","207
001 306 6","13","2.792","15.4",".","53.8","7.7","7.7",".","7.7",".",".",".",".",".","7.7",".",".","."
"","207
001 307 6","14","3.000","7.1","28.6","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","207
001 311 6","14","2.714",".","14.3","35.7","28.6","21.4",".",".",".",".",".",".",".",".",".",".","."
"","207
001 308 6","19","2.868","21.1","5.3","21.1","31.6","21.1",".",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","169","2.899","10.7","12.4","40.2","17.8","13.6","0.6","1.2",".",".",".",".",".","3.6",".",".","."
"","208
001 306 6","9","1.833",".",".","11.1","33.3","11.1","22.2","22.2",".",".",".",".",".",".",".",".","."
"","208
001 305 6","13","2.792","23.1",".","15.4","23.1","30.8",".",".",".",".",".",".",".",".",".","7.7","."
"","208
001 304 6","23","2.891","21.7","21.7","8.7","8.7","34.8","4.3",".",".",".",".",".",".",".",".",".","."
"","208
001 301 6","15","2.400","20.0","6.7","13.3","6.7","26.7","13.3","13.3",".",".",".",".",".",".",".",".","."
"","208
001 303 6","10","2.438",".",".","20.0","30.0","20.0","10.0",".",".",".",".",".",".","20.0",".",".","."
"General Physics","Course Total","70","2.567","15.7","8.6","12.9","17.1","27.1","8.6","5.7",".",".",".",".",".","2.9",".","1.4","."
"Intro to Modern Physics","241
001 301","31","3.117","22.6","22.6","16.1","25.8","6.5","3.2",".",".",".",".",".",".",".","3.2",".","."
"","244
001 302","16","3.000","18.8","25.0","18.8","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","244
001","36","2.847","13.9","25.0","19.4","22.2","11.1","2.8","5.6",".",".",".",".",".",".",".",".","."
"","244
001 301","25","2.860","12.0","16.0","28.0","20.0","16.0","8.0",".",".",".",".",".",".",".",".",".","."
