"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"420
GEOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","100
001 304","22","2.614","13.6","9.1","22.7","31.8","13.6",".","9.1",".",".",".",".",".",".",".",".","."
"","100
001 306","20","3.313","35.0","20.0","15.0",".","5.0",".","5.0",".",".",".",".",".",".",".","20.0","."
"","100
001 305","22","2.909","27.3","18.2","4.5","27.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","100
001 303","24","3.261","41.7","8.3","12.5","25.0","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","100
001 302","23","3.065","30.4","21.7","13.0","17.4","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"","100
001 301","23","3.022","17.4","34.8","8.7","30.4","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","Section Total","134","3.019","27.6","18.7","12.7","22.4","9.0","1.5","4.5","0.7",".",".",".",".",".",".","3.0","."
"","100
002 314","21","2.857","23.8","19.0","9.5","19.0","14.3","9.5","4.8",".",".",".",".",".",".",".",".","."
"","100
002 311","21","2.857","9.5","28.6","28.6","9.5","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","100
002 313","14","3.179","35.7","7.1","21.4","28.6",".","7.1",".",".",".",".",".",".",".",".",".","."
"","100
002 315","21","3.143","33.3","19.0","14.3","9.5","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","100
002 312","17","3.118","23.5","17.6","17.6","41.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002 310","21","2.595","9.5","14.3","14.3","28.6","19.0","9.5","4.8",".",".",".",".",".",".",".",".","."
"","Section Total","115","2.939","21.7","18.3","17.4","21.7","12.2","6.1","2.6",".",".",".",".",".",".",".",".","."
"General Geology","Course Total","249","2.982","24.9","18.5","14.9","22.1","10.4","3.6","3.6","0.4",".",".",".",".",".",".","1.6","."
"","101
001 301 6","21","2.550","9.5","4.8","23.8","4.8","38.1","14.3",".","4.8",".",".",".",".",".",".",".","."
"","101
001 303 6","16","2.469","25.0",".","6.3","6.3","56.3",".","6.3",".",".",".",".",".",".",".",".","."
"","101
001 304 6","12","2.833","25.0",".","33.3",".","33.3","8.3",".",".",".",".",".",".",".",".",".","."
"","101
001 302 6","19","2.526","10.5","5.3","31.6","5.3","31.6","10.5","5.3",".",".",".",".",".",".",".",".","."
"General Geology","Course Total","68","2.575","16.2","2.9","23.5","4.4","39.7","8.8","2.9","1.5",".",".",".",".",".",".",".","."
"","102
002","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"Elementary Geology Lab","Course Total","2","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","105
001 302","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
001 303","9","2.889","11.1","33.3","11.1","11.1","33.3",".",".",".",".",".",".",".",".",".",".","."
"","105
001 301","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","Course Total","22","3.114","22.7","22.7","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","106
001 304","18","2.639","11.1","11.1","16.7","16.7","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"","106
001 303","12","2.667",".","16.7","33.3","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","106
001 302","16","2.813","12.5","6.3","37.5","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","106
001 305","12","2.917","25.0","8.3","25.0","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","106
001 306","12","2.600","8.3",".","33.3",".","41.7",".",".","16.7",".",".",".",".",".",".",".","."
"","106
001 301","10","2.650","10.0",".","40.0","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","Course Total","80","2.718","11.3","7.5","30.0","12.5","27.5","8.8",".","2.5",".",".",".",".",".",".",".","."
"","107
001 301","15","2.821","20.0","13.3","6.7","20.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"","107
001 304","12","2.875","25.0","8.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"","107
001 302","15","2.633","6.7","13.3","13.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"Life of the Past","Course Total","42","2.768","16.7","11.9","11.9","23.8","28.6","4.8",".","2.4",".",".",".",".",".",".",".","."
"","109
001 303","17","2.719","17.6",".","23.5","17.6","23.5","11.8",".",".",".",".",".",".",".","5.9",".","."
"","109
001 301","21","2.868","23.8","4.8","19.0","9.5","28.6","4.8",".","4.8",".",".",".",".",".","4.8",".","."
"","109
001 302","22","2.886","13.6","9.1","40.9","13.6","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","109
001 304","19","2.971","26.3","10.5","15.8","5.3","26.3","5.3",".","10.5",".",".",".",".",".",".",".","."
"Geology of National Parks","Course Total","79","2.865","20.3","6.3","25.3","11.4","24.1","6.3",".","3.8",".",".",".",".",".","2.5",".","."
"","110
001 305","20","2.526","5.0",".","40.0",".","40.0","10.0",".",".",".",".",".",".","5.0",".",".","."
"","110
001 303","20","2.450","10.0",".","25.0",".","60.0","5.0",".",".",".",".",".",".",".",".",".","."
"","110
001 304","20","2.763","15.0","5.0","35.0",".","35.0","5.0",".",".",".",".",".",".","5.0",".",".","."
"","110
001 310","21","2.476",".",".","47.6",".","52.4",".",".",".",".",".",".",".",".",".",".","."
"","110
001 302","21","2.905","9.5",".","71.4",".","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 236 of 441",""
