"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"ENTOM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","47","3.649","72.3","12.8","4.3","2.1","4.3","2.1","2.1",".","",".",".","",".",".",".",".",".","."
"Sophomore","","40","3.654","55.0","27.5","10.0",".","2.5","2.5",".",".","",".",".","",".",".",".",".","2.5","."
"Junior","","40","3.363","50.0","20.0","15.0","2.5","2.5","2.5","5.0",".","",".",".","",".",".","2.5",".",".","."
"Senior","","66","3.456","43.9","18.2","24.2","4.5","4.5","1.5","1.5","1.5","",".",".","",".",".",".",".",".","."
"Undergraduates","","193","3.525","54.4","19.2","14.5","2.6","3.6","2.1","2.1","0.5","",".",".","",".",".","0.5",".","0.5","."
"Special","","4","3.778","50.0","25.0",".",".",".",".",".","25.0","",".",".","",".",".",".",".",".","."
"Graduate","","46","3.757","34.8","13.0","4.3",".",".",".",".","19.6","",".",".","",".","28.3",".",".",".","."
"","Dept. Total","243","3.554","50.6","18.1","12.3","2.1","2.9","1.6","1.6","4.5","",".",".","",".","5.3","0.4",".","0.4","."
