"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","P","I","N","NR","Other"
"820
PSYCH","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"","618
007","13","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","618
008","9","3.900","66.7","11.1",".",".","",".","",".",".",".",".",".",".",".","22.2",".",".","."
"Research Topics","Course Total","115","3.988","95.7","2.6",".",".","",".","",".",".",".",".",".",".",".","1.7",".",".","."
"Sociotechnical Systems","652
001","2","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653
001","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","681
003","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
011","2","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
014","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
016","2","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
023","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
024","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
029","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
034","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
035","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
040","2","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","681
065","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","14","4.000","14.3",".",".",".","",".","",".",".",".",".",".",".","85.7",".",".",".","."
"","682
023","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","682
027","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","682
043","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","3","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar in Psych","686
001","18","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","691
003","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
022","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
023","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
024","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
034","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
035","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
051","1","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
065","2","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"Undergraduate Thesis","Course Total","9","",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","692
017","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","692
023","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","692
035","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","3","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","693
035","1","",".",".",".",".","",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","693
039","2","3.063","50.0",".",".","50.0","",".","",".",".",".",".",".",".",".",".",".",".","."
"","693
053","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","4","3.167","50.0",".",".","25.0","",".","",".",".",".",".",".",".",".","25.0",".",".","."
"","694
016","39","3.874","89.7","7.7",".",".","",".","",".","2.6",".",".",".",".",".",".",".",".","."
"","694
065","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","40","3.877","90.0","7.5",".",".","",".","",".","2.5",".",".",".",".",".",".",".",".","."
"","695
002","7","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","695
003","7","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","695
006","10","3.900","80.0","20.0",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","695
011","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".",".","."
"","695
040","8","3.824","75.0",".","25.0",".","",".","",".",".",".",".",".",".",".",".",".",".","."
