"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"448
HISTORY","","Grades","GPA","","","","","","","","","","","","","","","",""
"Mexican Revolution","557
001","43","3.233","14.0","34.9","41.9","2.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"","560
001 301","12","3.300","25.0","8.3","41.7","8.3",".",".",".","16.7",".",".",".",".",".",".",".","."
"","560
001 305","3","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001 302","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001 303","7","3.143",".","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001 304","12","2.500",".","8.3","41.7","16.7","16.7",".","8.3","8.3",".",".",".",".",".",".",".","."
"Hist of Mass Communication","Course Total","40","3.041","10.0","25.0","37.5","12.5","5.0",".","2.5","7.5",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","14","3.214","28.6","14.3","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","600
001","18","3.781","50.0","38.9",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","600
002","13","3.000","15.4","30.8","30.8","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"","600
003","15","3.821","73.3","13.3",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","600
004","12","3.409","33.3","16.7","33.3","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","600
005","16","3.850","43.8","18.8",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"","600
006","10","2.900","20.0","30.0","20.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"","600
007","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
008","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","16","3.250","6.3","56.3","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600
010","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","600
011","18","3.676","55.6","16.7","22.2",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Advanced Seminar in History","Course Total","154","3.581","48.7","24.0","13.0","3.9","0.6","0.6","1.3",".",".",".",".",".","7.8",".",".","."
"Hist-Civ Rghts Movmnt in US","628
001","18","3.417","22.2","55.6","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680
001","17","3.875","76.5","11.8","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","681
010","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
014","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
015","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
017","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
032","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
038","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
039","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
041","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
046","4","3.750","25.0","25.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","681
048","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","14","3.833","14.3","7.1",".",".",".",".",".",".",".",".",".","64.3","14.3",".",".","."
"","682
010","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
017","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
031","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Senior Honors Thesis","Course Total","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Thesis Colloquium","690
001","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691
013","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","691
025","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","691
046","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","Course Total","3","3.500",".","33.3",".",".",".",".",".",".",".",".",".","66.7",".",".",".","."
"","699
001","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","2","3.500",".","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","699
017","3","3.625","33.3","33.3",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
