"ALS","","","","","","","","","","","","","","","","","","","","",""
"BIOLOGICAL SYSTEMS ENGINEE Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"112
BSE","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","201
001 301","","17","2.853","17.6","23.5","11.8","29.4","11.8","",".","5.9",".",".",".",".",".",".",".",".","."
"","201
001 302","","17","3.382","41.2","23.5","17.6","5.9","11.8","",".",".",".",".",".",".",".",".",".",".","."
"","201
001 303","","9","3.000","33.3","11.1","33.3","11.1",".","",".","11.1",".",".",".",".",".",".",".",".","."
"Surveying Fundamentals","Course Total","","43","3.093","30.2","20.9","18.6","16.3","9.3","",".","4.7",".",".",".",".",".",".",".",".","."
"","202
001 301","","13","3.615","53.8","23.1","15.4","7.7",".","",".",".",".",".",".",".",".",".",".",".","."
"","202
001 303","","6","3.083","33.3","50.0",".",".",".","",".","16.7",".",".",".",".",".",".",".",".","."
"","202
001 302","","12","3.583","41.7","41.7","8.3","8.3",".","",".",".",".",".",".",".",".",".",".",".","."
"Field Applicatns-Surveying","Course Total","","31","3.500","45.2","35.5","9.7","6.5",".","",".","3.2",".",".",".",".",".",".",".",".","."
"Engr Principles-Biol Systms","249
001","","17","3.176","29.4","47.1","11.8",".",".","",".","11.8",".",".",".",".",".",".",".",".","."
"Principles of Ag Machinery","361
001 301","","8","3.313","37.5","25.0","12.5","12.5","12.5","",".",".",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls","364
001 301","","15","2.600","6.7","13.3","20.0","13.3","33.3","","13.3",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372
001","","9","2.944","22.2","11.1","22.2","22.2","11.1","","11.1",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","","14","3.786","57.1","42.9",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
006","","2","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Fundmntl-Biol&Ag Engr Desgn","501
001 301","","10","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875
001","","6","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Seminar","900
001","","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","2","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","990
006","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","","4","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","990
015","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","990
018","","6","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","","14","",".",".",".",".",".","",".",".","21.4",".",".",".","78.6",".",".",".","."
"Special Problems","999
018","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"112
BSE","Dept. Total","","177","3.251","36.2","24.9","10.7","7.9","6.2","","1.7","2.8","1.7",".",".",".","6.8","1.1",".",".","."
