"ALS","","","","","","","","","","","","","","","","","","",""
"BIOCHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"200
BIOCHEM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","990
042","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
043","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
044","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
045","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
046","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
050","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
051","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
053","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
054","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
055","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
056","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
057","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
058","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
059","3","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"","990
060","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
061","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
062","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
063","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
064","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
066","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
067","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
068","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
069","1","",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".","."
"","990
070","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","132","",".",".",".",".",".",".",".","67.4","1.5",".",".","31.1",".",".",".","."
"","999
010","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","999
040","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
042","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
043","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
051","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
069","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Special Problems","Course Total","32","4.000","90.6",".",".",".",".",".",".","3.1",".",".",".","3.1","3.1",".",".","."
"200
BIOCHEM","Dept. Total","1186","3.308","33.2","13.1","20.7","3.5","6.2","0.8","0.6","15.1","0.2",".",".","5.0","1.5",".","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Sophomore","","20","3.280","35.0","15.0","10.0","15.0","5.0",".",".",".",".",".",".",".","20.0",".",".","."
"Junior","","179","3.047","28.5","14.0","24.6","8.4","15.6","3.9","1.7",".",".",".",".","1.1","2.2",".",".","."
"Senior","","335","3.247","35.8","14.6","25.4","4.2","11.9","0.6","0.9","0.6",".",".",".","4.5","1.2",".","0.3","."
"Undergraduates","","534","3.171","33.3","14.4","24.5","6.0","12.9","1.7","1.1","0.4",".",".",".","3.2","2.2",".","0.2","."
"Special","","22","3.216","27.3","13.6","36.4",".","4.5",".","4.5","4.5",".",".",".",".","4.5",".","4.5","."
"Graduate","","626","3.523","33.2","11.8","16.8","1.4","0.6",".",".","28.1","0.3",".",".","6.7","0.8",".",".","0.2"
"Prof Yr 1","","4","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","4","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1186","3.308","33.2","13.1","20.7","3.5","6.2","0.8","0.6","15.1","0.2",".",".","5.0","1.5",".","0.2","0.1"
