"L&S","","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","N","NR","Other"
"206
BIOCORE","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"","301
001 309","17","3.618","64.7","5.9","23.5",".","5.9","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 307","14","3.286","42.9","7.1","28.6","7.1","14.3","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 308","15","3.167","33.3","6.7","40.0",".","20.0","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 306","16","3.406","43.8","6.3","43.8",".","6.3","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 301","14","3.286","28.6","14.3","50.0",".","7.1","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 305","18","3.333","38.9","11.1","38.9",".","11.1","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 304","16","3.531","68.8","6.3","18.8",".",".","",".","6.3",".",".",".",".",".","",".",".",".","."
"","301
001 302","16","3.531","43.8","18.8","37.5",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 303","17","3.412","47.1","11.8","29.4",".","11.8","",".",".",".",".",".",".",".","",".",".",".","."
"","301
001 310","16","3.625","62.5","6.3","25.0","6.3",".","",".",".",".",".",".",".",".","",".",".",".","."
"Evolution,Ecology,&Genetics","Course Total","159","3.425","47.8","9.4","33.3","1.3","7.5","",".","0.6",".",".",".",".",".","",".",".",".","."
"","302
001 301","23","3.435","34.8","26.1","34.8",".","4.3","",".",".",".",".",".",".",".","",".",".",".","."
"","302
002 302","25","3.780","56.0","44.0",".",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"","302
003 303","23","3.565","30.4","52.2","17.4",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"","302
004 304","25","3.480","28.0","40.0","32.0",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"","302
005 305","23","3.478","21.7","52.2","26.1",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"","302
006 306","20","3.325","25.0","30.0","35.0","5.0","5.0","",".",".",".",".",".",".",".","",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","139","3.518","33.1","41.0","23.7","0.7","1.4","",".",".",".",".",".",".",".","",".",".",".","."
"","323
001 307","13","3.269","30.8","15.4","38.5","7.7","7.7","",".",".",".",".",".",".",".","",".",".",".","."
"","323
001 302","15","3.333","46.7","6.7","26.7","6.7","13.3","",".",".",".",".",".",".",".","",".",".",".","."
"","323
001 306","17","3.147","35.3",".","41.2","5.9","17.6","",".",".",".",".",".",".",".","",".",".",".","."
"","323
001 305","16","3.656","62.5","6.3","31.3",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"","323
001 304","17","3.382","35.3","17.6","41.2",".","5.9","",".",".",".",".",".",".",".","",".",".",".","."
"","323
001 303","14","3.464","42.9","21.4","28.6",".","7.1","",".",".",".",".",".",".",".","",".",".",".","."
"","323
001 301","12","3.125","25.0","16.7","25.0","25.0","8.3","",".",".",".",".",".",".",".","",".",".",".","."
"Organismal Biology","Course Total","104","3.346","40.4","11.5","33.7","5.8","8.7","",".",".",".",".",".",".",".","",".",".",".","."
"","324
001 301","14","3.643","50.0","35.7","7.1","7.1",".","",".",".",".",".",".",".",".","",".",".",".","."
"","324
002 302","12","3.625","41.7","41.7","16.7",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"","324
003 303","18","3.556","27.8","61.1","5.6","5.6",".","",".",".",".",".",".",".",".","",".",".",".","."
"Organismal Biology Lab","Course Total","44","3.602","38.6","47.7","9.1","4.5",".","",".",".",".",".",".",".",".","",".",".",".","."
"206
BIOCORE","Dept. Total","446","3.439","40.6","23.5","28.0","2.5","5.2","",".","0.2",".",".",".",".",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","185","3.344","33.0","23.8","34.6","0.5","7.6","",".","0.5",".",".",".",".",".","",".",".",".","."
"Junior","","179","3.445","40.2","25.1","25.7","5.6","3.4","",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","82","3.637","58.5","19.5","18.3",".","3.7","",".",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","446","3.439","40.6","23.5","28.0","2.5","5.2","",".","0.2",".",".",".",".",".","",".",".",".","."
"","Dept. Total","446","3.439","40.6","23.5","28.0","2.5","5.2","",".","0.2",".",".",".",".",".","",".",".",".","."
