"MUSIC-PERFORMANCE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","I","N","NR","Other"
"664
MUS PERF","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"","999
063","1","",".",".",".",".",".","",".",".","",".","",".",".","",".","100.0",".",".",".","."
"","999
071","1","",".",".",".",".",".","",".",".","",".","",".",".","",".",".","100.0",".",".","."
"","999
083","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".",".",".",".",".","."
"Adv Ind Work-Applied Music","Course Total","19","3.938","73.7",".","5.3",".",".","",".",".","",".","",".",".","",".","5.3","15.8",".",".","."
"664
MUS PERF","Dept. Total","588","3.853","78.1","12.4","4.3","1.4","0.7","",".","0.3","",".","",".",".","",".","0.2","2.4",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","101","3.769","68.3","19.8","6.9","3.0",".","",".",".","",".","",".",".","",".",".","1.0",".","1.0","."
"Sophomore","","71","3.842","76.1","15.5","1.4","1.4",".","",".","1.4","",".","",".",".","",".",".","4.2",".",".","."
"Junior","","106","3.725","72.6","10.4","5.7","3.8","2.8","",".","0.9","",".","",".",".","",".",".","2.8",".",".","0.9"
"Senior","","167","3.905","83.2","10.2","5.4",".",".","",".",".","",".","",".",".","",".",".","1.2",".",".","."
"Undergraduates","","445","3.823","76.2","13.3","5.2","1.8","0.7","",".","0.4","",".","",".",".","",".",".","2.0",".","0.2","0.2"
"Special","","18","3.771","72.2","22.2",".",".","5.6","",".",".","",".","",".",".","",".",".",".",".",".","."
"Graduate","","125","3.938","85.6","8.0","1.6",".",".","",".",".","",".","",".",".","",".","0.8","4.0",".",".","."
"","Dept. Total","588","3.853","78.1","12.4","4.3","1.4","0.7","",".","0.3","",".","",".",".","",".","0.2","2.4",".","0.2","0.2"
