"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","N","NR","Other"
"208
BOTANY","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"General Genetics","Course Total","","12","2.500","8.3",".","25.0","16.7","41.7","8.3","",".",".",".",".",".",".","",".",".",".","."
"Special Topics","575
001","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Capstone-Field Biology I","639
001","","4","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"Adaptive Restoration Lab","670
002","","9","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","691
010","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","691
020","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","691
031","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","691
042","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"Senior Thesis","Course Total","","6","4.000","66.7",".",".",".",".",".","",".",".",".",".",".","33.3","",".",".",".","."
"","692
025","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","692
028","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","692
031","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Senior Thesis","Course Total","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","699
004","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","699
015","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","699
024","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Regul Mechanisms-Plant Dev","840
001","","17","3.882","82.4","11.8","5.9",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Mycology","930
001","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Plant Taxonomy","940
001","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","950
001","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","950
002","","11","4.000","90.9",".",".",".",".",".","",".",".",".",".",".",".","",".","9.1",".","."
"Seminar-Plant Ecology","Course Total","","19","4.000","94.7",".",".",".",".",".","",".",".",".",".",".",".","",".","5.3",".","."
"Seminar-Plant Physiology","960
001","","5","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Research-Phycology","990
028","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research-Mycology","993
010","","2","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","994
003","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","994
005","","4","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","994
024","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","994
031","","2","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"Research-Plant Systematics","Course Total","","8","",".",".",".",".",".",".","",".","75.0",".",".",".","25.0","",".",".",".","."
"","995
004","","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","995
020","","7","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","995
024","","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","995
042","","4","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research-Plant Ecology","Course Total","","17","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","996
007","","2","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","996
015","","5","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","996
025","","2","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","996
041","","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research-Plant Physiology","Course Total","","12","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
