"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"250
COM ARTS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","351
001 301 6","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 301 6","14","3.250","21.4","42.9","7.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","351
001 301 6","13","3.000","23.1","23.1","23.1","23.1",".",".","7.7",".",".",".",".",".",".",".",".","."
"","351
001 301 6","8","3.313",".","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","5","3.000","20.0","20.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"","351
001  601","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001 302 6","3","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Television","Course Total","159","3.146","13.2","37.1","26.4","15.7","3.1","2.5","1.3",".",".",".",".",".","0.6",".",".","."
"","352
001 301 6","15","2.833","20.0","13.3","26.7","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","352
001 301 6","16","2.469",".","12.5","31.3","18.8","12.5","18.8","6.3",".",".",".",".",".",".",".",".","."
"","352
001 301 6","17","2.941","17.6","23.5","29.4","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","352
001 301 6","19","3.118","15.8","21.1","26.3","21.1","5.3",".",".","5.3",".",".",".",".","5.3",".",".","."
"","352
001 301 6","21","2.833","14.3","19.0","23.8","23.8","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"History of World Cinema","Course Total","88","2.843","13.6","18.2","27.3","19.3","11.4","3.4","4.5","1.1",".",".",".",".","1.1",".",".","."
"","355
001 302","13","3.154","7.7","23.1","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001 310","13","2.923",".","15.4","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","355
001 309","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001 308","13","2.923",".","15.4","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","355
001 307","12","2.958",".","8.3","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001 306","12","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
