"L&S","","","","","","","","","","","","","","","","","","",""
"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"942
THEATRE","","Grades","GPA","","","","","","","","","","","","","","","",""
"Smr-Probs in Theatre&Drama","911
001","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Collaboratv Design&Tech Studio","970
001","5","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
004","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
006","5","",".",".",".",".",".",".",".","20.0",".",".",".","80.0",".",".",".","."
"","990
009","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
015","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
016","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
018","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
023","3","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"Research and Thesis","Course Total","27","",".",".",".",".",".",".",".","59.3",".",".",".","40.7",".",".",".","."
"","999
006","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","999
017","2","3.500",".","50.0",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"Independent Study","Course Total","4","3.500",".","25.0",".",".",".",".",".","25.0",".",".",".","50.0",".",".",".","."
"942
THEATRE","Dept. Total","1019","3.601","53.0","23.7","10.8","3.5","2.3","0.7","0.5","2.1",".",".",".","1.4","2.0","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","110","3.680","68.2","20.0","3.6","2.7","2.7","1.8","0.9",".",".",".",".",".",".",".",".","."
"Sophomore","","312","3.489","46.5","25.6","13.8","4.8","3.5","1.6","1.0","0.3",".",".",".",".","2.2","0.3",".","0.3"
"Junior","","188","3.627","53.2","26.6","13.8","3.7","1.6",".",".","0.5",".",".",".",".","0.5",".",".","."
"Senior","","269","3.616","54.3","25.3","11.5","3.7","2.2",".","0.4",".",".",".",".",".","2.6",".",".","."
"Undergraduates","","879","3.580","53.0","25.0","11.8","4.0","2.6","0.8","0.6","0.2",".",".",".",".","1.7","0.1",".","0.1"
"Special","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","134","3.806","53.0","14.9","3.7",".",".",".",".","14.2",".",".",".","10.4","3.7",".",".","."
"","Dept. Total","1019","3.601","53.0","23.7","10.8","3.5","2.3","0.7","0.5","2.1",".",".",".","1.4","2.0","0.1",".","0.1"
