"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"424
GERMAN","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"","Section Total","","15","3.510","33.3","26.7","33.3",".",".","",".","",".",".",".",".",".",".","6.7",".",".","."
"Composition & Conversatn II","Course Total","","27","3.385","37.0","18.5","22.2","7.4","7.4","",".","",".","3.7",".",".",".",".","3.7",".",".","."
"Intro to German Literature","274
001","","9","3.389","55.6","11.1","11.1",".","22.2","",".","",".",".",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","284
001","","12","3.292","25.0","33.3","25.0","8.3",".","","8.3","",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","285
001","","11","3.818","90.9",".",".",".","9.1","",".","",".",".",".",".",".",".",".",".",".","."
"","305
001","","12","3.318","16.7","33.3","33.3","8.3",".","",".","",".","8.3",".",".",".",".",".",".",".","."
"","305
001 301","","12","3.543","41.7","25.0","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Literatur des 20. Jahrhunderts","Course Total","","24","3.449","29.2","29.2","33.3","4.2",".","",".","",".","4.2",".",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","311
003","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"3rd Sem Dutch-Grad Stdts","313
001","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","337
001","","12","3.263","8.3","41.7","41.7","8.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"","337
001 301","","6","3.913","83.3","16.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","Course Total","","18","3.508","33.3","33.3","27.8","5.6",".","",".","",".",".",".",".",".",".",".",".",".","."
"","351
001 301","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","351
001","","13","3.875","76.9","7.7","7.7",".",".","",".","",".",".",".",".",".",".",".",".",".","7.7"
"Intro to German Linguistics","Course Total","","15","3.898","80.0","6.7","6.7",".",".","",".","",".",".",".",".",".",".",".",".",".","6.7"
"German for Grad Reading I","391
001","","25","3.750","72.0","8.0","12.0",".","4.0","",".","",".","4.0",".",".",".",".",".",".",".","."
"","411
001 301","","3","3.000",".",".","33.3",".",".","",".","",".",".",".",".",".",".","66.7",".",".","."
"","411
001","","8","3.360","12.5","50.0","37.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Kultur des 20. Jahrhunderts","Course Total","","11","3.310","9.1","36.4","36.4",".",".","",".","",".",".",".",".",".",".","18.2",".",".","."
"","601
001 301","","12","3.532","41.7","41.7","8.3",".","8.3","",".","",".",".",".",".",".",".",".",".",".","."
"","601
001","","9","3.714","44.4","55.6",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Kultur bis 1648","Course Total","","21","3.600","42.9","47.6","4.8",".","4.8","",".","",".",".",".",".",".",".",".",".",".","."
"History-German Language","650
001","","17","3.900","76.5","5.9","5.9",".",".","",".","",".",".",".",".",".",".","11.8",".",".","."
"Senior Seminar in German Lit","673
001","","9","3.688","33.3","55.6",".",".",".","",".","",".","11.1",".",".",".",".",".",".",".","."
"","681
013","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
025","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Sr Honors Thesis-1st Sem","Course Total","","2","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","682
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","682
013","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","682
025","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Sr Honors Thesis-2nd Sem","Course Total","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Exercises in German Style","712
001","","6","4.000","66.7",".",".",".",".","",".","",".","16.7",".",".",".",".",".","16.7",".","."
"College Teaching of German","720
001","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Pract-Undergr Lang Instrctn","721
011","","1","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Theory of Teaching German","722
001","","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Pract-Teachng Undergrad Lit","723
032","","1","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Topics-German Cultural Thry","741
001","","13","3.708","61.5","7.7","23.1",".",".","",".","",".",".",".",".",".",".","7.7",".",".","."
"Old Germanic Languages","755
001","","8","4.000","87.5",".",".",".",".","",".","",".","12.5",".",".",".",".",".",".",".","."
"Topics-Contemporary German","758
001","","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
001","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
003","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
004","","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
010","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 240 of 441",""
