"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"400
FRENCH","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","228
003","","14","3.488","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","25","3.639","32.0","56.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","228
004 304","","10","3.897","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","21","3.882","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","85","3.571","44.7","31.8","11.8","4.7","3.5",".",".","3.5",".",".",".",".",".",".",".","."
"","271
001 301","","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","271
002 302","","22","3.545","54.5","31.8","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","271
003 303","","20","3.375","35.0","30.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","271
004 304","","22","3.432","31.8","40.9","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","77","3.481","42.9","33.8","13.0","2.6","6.5",".","1.3",".",".",".",".",".",".",".",".","."
"3rd Sem French-Honors","283
001","","24","3.521","33.3","50.0","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","284
001","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","284
002","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","Course Total","","17","3.559","47.1","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","287
001","","10","3.389","10.0","60.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","287
002","","11","3.136","27.3","36.4","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","Course Total","","21","3.250","19.0","47.6","14.3","9.5",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","40","3.825","87.5","7.5",".","2.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"","311
001 301","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","14","3.580","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001 301","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","9","3.786","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Business French","Course Total","","10","3.813","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001 301","","10","3.800","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","Section Total","","23","3.601","34.8","39.1","21.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","321
002","","15","3.604","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002 302","","5","3.921","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","20","3.694","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","43","3.645","39.5","41.9","16.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","322
001 301","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","16","3.745","50.0","37.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","Section Total","","17","3.765","52.9","35.3","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","322
002","","14","3.605","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002 302","","5","3.579","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","19","3.597","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","36","3.673","41.7","47.2","8.3",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","347
001 301","","10","3.333","50.0",".","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","347
001","","11","3.200","36.4",".","36.4",".","18.2",".",".",".",".",".",".",".","9.1",".",".","."
"","Section Total","","21","3.275","42.9",".","33.3","4.8","9.5","4.8",".",".",".",".",".",".","4.8",".",".","."
"","347
003","","9","3.345","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
003 303","","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","19","3.290","21.1","31.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","40","3.283","32.5","15.0","35.0","5.0","7.5","2.5",".",".",".",".",".",".","2.5",".",".","."
