"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"250
COM ARTS","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"","699
019","","2","3.750","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
020","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
026","","3","4.000","66.7",".",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"Directed Study","Course Total","","21","3.926","76.2","9.5","4.8",".","",".","",".","",".",".",".",".",".",".","9.5",".",".","."
"Theories of Mass Media","750
001","","16","3.906","81.3","18.8",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
007","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
011","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
014","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","799
015","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
016","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
032","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
034","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.935","70.0","20.0",".",".","",".","",".","",".",".",".",".",".",".","10.0",".",".","."
"Film Colloquium","902
001","","26","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Media&Cultural Studies Colloq","903
001","","19","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Communicatn Studies Colloq","904
001","","12","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Rhetoric Colloquium","905
001","","6","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"International Broadcast Sys","942
001","","10","3.950","90.0","10.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Radio-Tv-Film","950
001","","8","3.929","75.0","12.5",".",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"Probs-Com & Public Address","967
001","","9","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Communicatn-Personal Relatnshp","972
001","","7","3.917","71.4","14.3",".",".","",".","",".","",".","14.3",".",".",".",".",".",".",".","."
"Smr-Rhetorical Criticism","976
001","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
008","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
010","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
011","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
016","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
017","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
019","","9","",".",".",".",".","",".","",".","",".","88.9","11.1",".",".",".",".",".",".","."
"","990
026","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
027","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
032","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
034","","5","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
038","","5","",".",".",".",".","",".","",".","",".","20.0",".",".",".","80.0",".",".",".","."
"Research and Thesis","Course Total","","33","",".",".",".",".","",".","",".","",".","66.7","3.0",".",".","30.3",".",".",".","."
