"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"ENGR PROFESSIONAL DEVELOP","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"348
E P D","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Intermed Tech Japanese I","Course Total","21","",".",".",".",".",".","",".",".",".",".","76.2",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","10","3.800","60.0","40.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","397
001 308","21","3.725","57.1","23.8","14.3",".",".","",".",".",".",".",".",".",".","4.8",".",".","."
"","397
001 307","18","3.722","55.6","33.3","11.1",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","397
001 306","22","3.659","45.5","40.9","13.6",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","397
001 304","23","3.696","43.5","52.2","4.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","397
001 303","20","3.553","40.0","35.0","15.0",".","5.0","",".",".",".",".",".",".",".","5.0",".",".","."
"","397
001 302","22","3.636","31.8","63.6","4.5",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","397
001 301","21","3.357","14.3","42.9","42.9",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","397
001 305","19","3.632","52.6","26.3","15.8","5.3",".","",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","166","3.622","42.2","40.4","15.1","0.6","0.6","",".",".",".",".",".",".",".","1.2",".",".","."
"Tech Communications Intrshp","398
001","16","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
011","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","30","3.950","93.3","3.3","3.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","430
001","2","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","430
002","2","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","430
003","5","3.750","60.0",".","20.0",".",".","",".",".",".",".",".",".",".","20.0",".",".","."
"","430
004","2","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Japanese for Bus & Industry","Course Total","11","3.750","27.3",".","9.1",".",".","",".",".",".",".",".",".",".","63.6",".",".","."
"Technical Editing","497
001","12","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Senior Independent Study","499
033","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","530
002","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Tech&Professnl Communicatn","597
001","16","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","29","3.862","72.4","27.6",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","29","3.552","20.7","69.0","10.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","29","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","630
001","2","4.000","50.0",".",".",".",".","",".",".",".",".",".",".",".","50.0",".",".","."
"","630
003","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Rsch-Japanese Technical Lit","Course Total","3","4.000","33.3",".",".",".",".","",".",".",".",".",".",".",".","66.7",".",".","."
"","690
002","28","3.962","85.7","7.1",".",".",".","",".",".",".",".",".",".",".","7.1",".",".","."
"","690
004","20","3.200","15.0","45.0","30.0","5.0",".","",".","5.0",".",".",".",".",".",".",".",".","."
"","690
025","8","3.688","37.5","62.5",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","690
036","6","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","690
037","16","4.000","37.5",".",".",".",".","",".",".","62.5",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","78","3.739","53.8","20.5","7.7","1.3",".","",".","1.3","12.8",".",".",".",".","2.6",".",".","."
"","699
011","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
012","2","3.833","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
019","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
033","4","3.500",".","25.0",".",".",".","",".",".",".",".",".",".",".","75.0",".",".","."
"","699
036","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
044","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","16","3.955","68.8","12.5",".",".",".","",".",".",".",".",".",".",".","18.8",".",".","."
