"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"224
CHEM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","342
006 306","16","3.313","25.0","37.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Organic Chemistry Lab","Course Total","68","3.318","25.0","32.4","23.5","11.8","4.4",".",".","2.9",".",".",".",".",".",".",".","."
"","343
002","224","2.797","23.2","7.6","26.3","7.6","20.1","9.8","4.5",".",".",".",".",".","0.9",".",".","."
"","343
003","201","2.513","14.4","6.0","24.4","11.9","22.4","10.0","9.0",".",".",".",".",".","1.5","0.5",".","."
"","343
004","32","3.469","37.5","21.9","37.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","343
005","89","2.910","20.2","10.1","29.2","16.9","18.0","4.5","1.1",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","Course Total","546","2.752","20.3","8.2","26.7","10.4","19.4","8.4","5.3",".",".",".",".",".","0.9","0.2",".","."
"","344
001 301","16","3.344","25.0","37.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
002 302","17","3.265","23.5","35.3","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
003 303","17","3.353","23.5","41.2","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004 304","14","3.321","28.6","28.6","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
005 305","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
006 306","17","3.382","17.6","47.1","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","344
007 307","16","3.375","37.5","25.0","25.0",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","344
008 308","17","3.353","17.6","47.1","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
009 309","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
010 310","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
012 312","16","3.344","25.0","31.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
013 313","16","3.281","25.0","31.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
014 314","18","3.194","27.8","22.2","16.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".","."
"","344
015 315","18","3.306","16.7","44.4","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
016 316","16","3.406","37.5","18.8","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
017 317","14","3.357","35.7","21.4","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","344
018 318","15","3.333","26.7","33.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
019 319","14","3.321","28.6","28.6","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
020 320","10","3.400","30.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
021 321","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
022 322","17","3.235","17.6","35.3","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
023 323","11","3.364","27.3","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","313","3.342","26.5","33.9","23.3","14.1","1.6","0.6",".",".",".",".",".",".",".",".",".","."
"","345
001","223","2.957","34.5","2.2","30.0",".","22.4","6.7","3.6",".",".",".",".",".",".",".",".","0.4"
"","345
002","101","2.965","16.8","20.8","26.7","9.9","13.9","8.9","1.0","1.0",".",".",".",".",".","1.0",".","."
"Intmed Organic Chemistry","Course Total","324","2.960","29.0","8.0","29.0","3.1","19.8","7.4","2.8","0.3",".",".",".",".",".","0.3",".","0.3"
"","346
001 301","13","3.438","46.2","7.7","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002 302","13","3.542","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","26","3.490","42.3","19.2","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","32","2.781","18.8","15.6","25.0","9.4","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"","524
001 303","7","3.250","28.6","14.3","14.3","28.6",".",".",".",".",".",".",".",".","14.3",".",".","."
