"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"932
STAT","","Grades","GPA","","","","","","","","","","","","","","","",""
"","301
006 362","20","2.725","30.0","5.0","15.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"","301
006 364","22","2.818","18.2",".","31.8","27.3","22.7",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","92","2.747","19.6","8.7","19.6","26.1","17.4","2.2","5.4",".",".",".",".",".","1.1",".",".","."
"Intro-Statistical Methods","Course Total","530","3.075","28.7","11.7","26.4","18.1","10.0","1.3","2.3","0.4",".",".",".",".","0.9","0.2",".","."
"","309
001 311","15","3.033","46.7",".","33.3","6.7",".",".","13.3",".",".",".",".",".",".",".",".","."
"","309
001 312","11","3.136","27.3","45.5","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","Course Total","26","3.077","38.5","19.2","23.1","3.8","3.8",".","11.5",".",".",".",".",".",".",".",".","."
"","311
001 312","25","3.580","64.0","16.0",".","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","311
001 311","24","3.646","70.8","8.3","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","311
001 313","27","3.444","48.1","29.6","7.4","7.4","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"","Section Total","76","3.553","60.5","18.4","3.9","10.5","3.9","1.3","1.3",".",".",".",".",".",".",".",".","."
"","311
002 321","24","2.875","20.8","16.7","20.8",".","41.7",".",".",".",".",".",".",".",".",".",".","."
"","311
002 322","22","2.786","22.7","9.1","18.2","13.6","22.7","4.5","4.5",".",".",".",".",".",".",".","4.5","."
"","Section Total","46","2.833","21.7","13.0","19.6","6.5","32.6","2.2","2.2",".",".",".",".",".",".",".","2.2","."
"Intro to Mathematical Stat","Course Total","122","3.285","45.9","16.4","9.8","9.0","14.8","1.6","1.6",".",".",".",".",".",".",".","0.8","."
"","312
001 311","23","3.682","65.2","8.7","13.0","8.7",".",".",".","4.3",".",".",".",".",".",".",".","."
"","312
001 312","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","45","3.750","68.9","13.3","11.1","4.4",".",".",".","2.2",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001 311","22","2.857","22.7","9.1","31.8",".","22.7","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"Intro Nonparametric Stats","351
001","14","3.615","42.9","28.6","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","371
001 313","22","3.705","63.6","13.6","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001 312","23","3.348","34.8","30.4","13.0","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","371
001 311","25","3.800","80.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","371
001 314","22","3.636","59.1","27.3","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","92","3.625","59.8","19.6","12.0","3.3","4.3","1.1",".",".",".",".",".",".",".",".",".","."
"","424
001 311","19","3.263","21.1","31.6","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","424
001 313","14","3.500","50.0","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","424
001 312","19","3.368","31.6","42.1","5.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","Course Total","52","3.365","32.7","32.7","19.2","5.8","9.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","431
001","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","541
001 311","23","3.261","26.1","26.1","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","541
001 312","27","3.500","25.9","48.1","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","541
001 313","25","3.520","48.0","16.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","541
001 314","25","3.480","52.0","16.0","20.0",".","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","541
001 315","21","3.619","57.1","14.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","121","3.475","41.3","24.8","25.6","4.1","2.5","1.7",".",".",".",".",".",".",".",".",".","."
"","541
002 321","25","3.413","40.0","24.0","8.0","12.0","8.0",".",".","8.0",".",".",".",".",".",".",".","."
"","541
002 322","24","3.261","33.3","16.7","25.0","8.3","8.3","4.2",".",".",".",".",".",".",".",".","4.2","."
"","541
002 324","21","3.263","42.9","19.0","4.8","9.5","9.5",".","4.8",".",".",".",".",".",".",".","9.5","."
"","Section Total","70","3.315","38.6","20.0","12.9","10.0","8.6","1.4","1.4","2.9",".",".",".",".",".",".","4.3","."
"Intro to Biostatistics","Course Total","191","3.419","40.3","23.0","20.9","6.3","4.7","1.6","0.5","1.0",".",".",".",".",".",".","1.6","."
"","571
001 313","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001 311","24","3.587","41.7","29.2","25.0",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","571
001 312","19","3.579","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","57","3.589","40.4","35.1","22.8",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"","571
002 322","14","3.286","28.6","7.1","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 352 of 441",""
