"CHEMICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"220
CH E","","Grades","","GPA","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","22","3.900","59.1","4.5","4.5",".",".",".",".",".",".",".",".",".","31.8",".",".","."
"","211
001 302","","12","2.417","8.3",".","16.7","16.7","33.3","25.0",".",".",".",".",".",".",".",".",".","."
"","211
001 301","","9","3.167","22.2","22.2","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","Section Total","","21","2.738","14.3","9.5","23.8","14.3","19.0","19.0",".",".",".",".",".",".",".",".",".","."
"","211
002 301","","7","2.714","28.6",".","42.9",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","211
002 302","","6","2.833","33.3","33.3",".",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"","Section Total","","13","2.769","30.8","15.4","23.1",".","15.4",".","15.4",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","34","2.750","20.6","11.8","23.5","8.8","17.6","11.8","5.9",".",".",".",".",".",".",".",".","."
"","250
001","","18","3.000","22.2","27.8","11.1","5.6","33.3",".",".",".",".",".",".",".",".",".",".","."
"","250
001 301","","14","2.893","7.1","21.4","35.7","14.3","21.4",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","32","2.953","15.6","25.0","21.9","9.4","28.1",".",".",".",".",".",".",".",".",".",".","."
"","250
002 301","","17","3.125","23.5","17.6","23.5","17.6","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"","250
002","","23","2.909","4.3","26.1","34.8","8.7","17.4","4.3",".",".",".",".",".",".","4.3",".",".","."
"","Section Total","","40","3.000","12.5","22.5","30.0","12.5","15.0","2.5",".",".",".",".",".",".","5.0",".",".","."
"Process Synthesis","Course Total","","72","2.979","13.9","23.6","26.4","11.1","20.8","1.4",".",".",".",".",".",".","2.8",".",".","."
"","311
001 302","","26","2.860","26.9","7.7","19.2","11.5","26.9",".","3.8","3.8",".",".",".",".",".",".",".","."
"","311
001 301","","29","2.034","10.3",".","20.7","6.9","27.6","13.8","20.7",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","Course Total","","55","2.417","18.2","3.6","20.0","9.1","27.3","7.3","12.7","1.8",".",".",".",".",".",".",".","."
"","320
001 302","","19","3.237","31.6","21.1","21.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"","320
001 301","","31","2.952","19.4","22.6","25.8","19.4","3.2","3.2","6.5",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","Course Total","","50","3.060","24.0","22.0","24.0","18.0","6.0","2.0","4.0",".",".",".",".",".",".",".",".","."
"","324
002","","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","10","3.000","10.0","10.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","42","3.357","26.2","33.3","28.6","9.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"","326
001 302","","16","3.000","12.5","12.5","56.3",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","326
001 301","","18","2.889","16.7","5.6","38.9","16.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","Course Total","","34","2.941","14.7","8.8","47.1","8.8","20.6",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426
001 301","","28","2.929","25.0","3.6","32.1","10.7","28.6",".",".",".",".",".",".",".",".",".",".","."
"","426
001 302","","17","3.000","11.8","17.6","41.2","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","Course Total","","45","2.956","20.0","8.9","35.6","13.3","20.0","2.2",".",".",".",".",".",".",".",".",".","."
"","430
001 303","","7","2.643","14.3","28.6","14.3","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","430
001 301","","24","2.875","20.8","16.7","12.5","16.7","20.8","12.5",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","Course Total","","31","2.823","19.4","19.4","12.9","16.1","19.4","9.7","3.2",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","43","2.826","9.3","23.3","25.6","16.3","20.9","2.3","2.3",".",".",".",".",".",".",".",".","."
"","450
001 304","","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","450
001 302","","12","3.125","41.7",".","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","450
001 303","","8","2.875","12.5","12.5","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Process Design","Course Total","","27","3.074","29.6","7.4","33.3","7.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"","470
001 302 6","","11","3.318","45.5","9.1","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","470
001 301 6","","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001 303 6","","11","3.091","27.3","18.2","27.3",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","470
001 304 6","","10","2.950",".","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","Course Total","","43","3.198","25.6","25.6","23.3","14.0","9.3","2.3",".",".",".",".",".",".",".",".",".","."
