"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"970
ZOOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 301","14","2.893","21.4","21.4","7.1","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"","101
001 309","4","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 304","3","2.667",".",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 308","2","2.750",".","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".","."
"","101
001","365","2.756","14.0","10.1","26.8","12.1","23.8","8.8","1.4","0.3",".",".",".",".","0.3","0.5",".","1.9"
"","101
001 307","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 305","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 315","2","2.250",".",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"","101
001 302","4","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 313","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","101
001 311","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","400","2.780","15.3","10.5","26.0","12.3","23.5","8.5","1.3","0.3",".",".",".",".","0.3","0.5",".","1.8"
"","101
002 304","3","2.500",".",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002 301","10","2.850","10.0","30.0","20.0",".","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"","101
002","404","2.713","12.6","7.9","28.2","12.6","24.8","10.6","1.0","0.2",".",".",".",".","0.5","0.7",".","0.7"
"","101
002 303","3","2.833",".",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002 315","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002 311","2","2.750",".","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".","."
"","101
002 309","3","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002 308","3","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002 307","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002 306","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002 302","4","3.000","25.0",".","50.0",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"","Section Total","437","2.723","12.8","8.2","28.6","12.1","24.7","10.5","0.9","0.2",".",".",".",".","0.5","0.7",".","0.7"
"","101
010","37","2.700","5.4","16.2","24.3","13.5","29.7","5.4",".",".",".",".",".",".",".",".",".","5.4"
"","101
010 303","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","38","2.708","5.3","15.8","26.3","13.2","28.9","5.3",".",".",".",".",".",".",".",".",".","5.3"
"Animal Biology","Course Total","875","2.749","13.6","9.6","27.3","12.2","24.3","9.4","1.0","0.2",".",".",".",".","0.3","0.6",".","1.4"
"","102
001","25","3.400","36.0","20.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","26","3.596","42.3","34.6","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","29","3.466","41.4","17.2","34.5","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","28","3.214","17.9","21.4","50.0","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","102
006","28","3.375","46.4","28.6","14.3","3.6",".",".","7.1",".",".",".",".",".",".",".",".","."
"","102
007","27","3.481","55.6","14.8","18.5","7.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"","102
008","27","3.833","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","28","3.500","46.4","28.6","21.4",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","102
010","27","3.370","37.0","22.2","25.9","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"","102
011","21","3.571","33.3","47.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","28","3.804","75.0","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","28","3.679","53.6","28.6","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","29","3.552","48.3","17.2","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","28","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","27","3.815","70.4","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","29","3.879","79.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","28","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","28","3.679","60.7","21.4","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","27","3.648","48.1","33.3","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
021","25","3.400","28.0","40.0","20.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 362 of 441",""
