"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","N","NR","Other"
"416
GEOG","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","Dept. Total","1643","3.070","26.2","18.9","20.1","12.5","11.7","2.9","1.9","1.5","0.1","0.4","",".","1.7","1.2","0.1","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","308","2.948","20.8","20.8","18.2","15.3","19.8","2.3","1.9",".",".",".","",".",".","0.6",".",".","0.3"
"Sophomore","","400","2.951","18.0","20.0","25.0","15.3","14.5","3.0","2.8",".",".",".","",".",".","1.0","0.3",".","0.3"
"Junior","","359","2.976","23.1","18.1","22.0","15.0","12.3","4.5","2.8","0.3",".","0.8","",".",".","0.6","0.3",".","0.3"
"Senior","","343","3.141","27.7","19.8","22.7","11.7","8.5","3.5","1.5","1.5","0.3","0.6","",".","0.6","1.2",".","0.3","."
"Undergraduates","","1410","2.999","22.3","19.6","22.2","14.3","13.6","3.3","2.3","0.4","0.1","0.4","",".","0.1","0.9","0.1","0.1","0.2"
"Special","","18","3.531","38.9","16.7","16.7",".","5.6",".",".","5.6",".",".","",".",".","5.6",".","11.1","."
"Graduate","","215","3.732","50.7","14.4","7.0","1.9",".",".",".","7.9","0.5","0.5","",".","12.1","3.3",".","0.5","0.5"
"","Dept. Total","1643","3.070","26.2","18.9","20.1","12.5","11.7","2.9","1.9","1.5","0.1","0.4","",".","1.7","1.2","0.1","0.2","0.2"
