"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"236
M H R","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","365
001","7","3.500","28.6","42.9","28.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","399
002","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","399
004","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","399
209","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Reading & Rsch-Management","Course Total","4","4.000","75.0",".",".",".","",".","",".","",".",".",".",".",".",".","25.0",".",".","."
"The Management of Teams","401
001","43","3.640","34.9","58.1","7.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","32","3.578","28.1","59.4","12.5",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","420
001","38","3.934","86.8","13.2",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","420
002","40","3.910","85.0","7.5","5.0",".","",".","",".","",".",".",".",".",".",".","2.5",".",".","."
"Org & Mgmt Processes","Course Total","78","3.922","85.9","10.3","2.6",".","",".","",".","",".",".",".",".",".",".","1.3",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","31","3.383","19.4","51.6","16.1","3.2","","6.5","",".","",".","3.2",".",".",".",".",".",".",".","."
"Strategic Management","423
001","30","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar:Human Resources Issues","471
001","5","4.000","80.0",".",".",".","",".","",".","",".",".",".",".",".",".","20.0",".",".","."
"Public Sector Bargaining","539
001","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","22","3.619","40.9","36.4","18.2",".","",".","",".","",".",".",".",".",".",".","4.5",".",".","."
"Labor-Management Relations","612
001","22","3.405","18.2","50.0","18.2","9.1","",".","",".","",".",".",".",".",".",".",".","4.5",".","."
"","613
001","10","3.550","50.0","20.0","20.0","10.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","613
002","22","3.571","36.4","36.4","22.7",".","",".","",".","",".",".",".",".",".",".","4.5",".",".","."
"Hum Rsrce Skills-Managers","Course Total","32","3.565","40.6","31.3","21.9","3.1","",".","",".","",".",".",".",".",".",".","3.1",".",".","."
"Organizational Behavior","700
010","11","3.591","63.6","18.2",".","9.1","","9.1","",".","",".",".",".",".",".",".",".",".",".","."
"","701
001","50","3.740","52.0","44.0","4.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","701
002","47","3.702","46.8","46.8","6.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Motivational Effectiveness","Course Total","97","3.722","49.5","45.4","5.2",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","702
001","45","3.956","91.1","8.9",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","702
002","46","3.924","84.8","15.2",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Leadership Effectiveness","Course Total","91","3.940","87.9","12.1",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","703
001","12","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","31","3.629","38.7","48.4","12.9",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","713
001","45","3.456","24.4","42.2","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","713
002","46","3.522","34.8","34.8","30.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","713
003","21","3.619","47.6","28.6","23.8",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","713
004","45","3.378","24.4","28.9","44.4","2.2","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","157","3.475","30.6","34.4","34.4","0.6","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","46","3.620","37.0","50.0","13.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Project Management","724
001","39","3.782","59.0","38.5","2.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","725
001","48","3.479","22.9","50.0","27.1",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","725
002","35","3.471","22.9","48.6","28.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","725
030","39","3.679","38.5","59.0","2.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Strategc Mgmt-Innovatn&Tech","Course Total","122","3.541","27.9","52.5","19.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Entrepreneurl Growth Strategy","727
001","25","3.660","40.0","52.0","8.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","12","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","10","3.800","60.0","40.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","773
001","10","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
002","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
204","5","4.000","80.0",".",".",".","",".","",".","",".",".",".",".",".",".","20.0",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 58 of 441",""
