"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"240
CIV ENGR","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Steel Structures I","445
001","","32","3.194","31.3",".","53.1",".","9.4","","3.1","",".",".",".",".",".",".","3.1",".",".","."
"Concrete Structures I","447
001","","19","2.947","26.3","15.8","15.8","5.3","26.3","","10.5","",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491
001","","31","3.726","80.6",".","9.7","3.2","3.2","","3.2","",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497
001","","16","3.563","43.8","31.3","18.8","6.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"","498
001","","21","3.632","47.6","33.3",".","4.8","4.8","",".","",".",".",".",".",".",".","9.5",".",".","."
"","498
002","","25","3.957","88.0",".","4.0",".",".","",".","",".",".",".",".",".",".","8.0",".",".","."
"Constructn Project Managmnt","Course Total","","46","3.810","69.6","15.2","2.2","2.2","2.2","",".","",".",".",".",".",".",".","8.7",".",".","."
"Water Chemistry","500
001","","36","3.397","19.4","38.9","33.3","2.8",".","",".","",".","2.8",".",".",".",".","2.8",".",".","."
"Water Analysis-Intermediate","501
001","","26","3.231","26.9","15.4","53.8",".",".","",".","","3.8",".",".",".",".",".",".",".",".","."
"Water Anal Intermediate Lab","503
001","","18","3.889","77.8","22.2",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Foundations","532
001","","23","3.130","26.1","34.8","26.1",".",".","","4.3","","8.7",".",".",".",".",".",".",".",".","."
"Waste Geotechnics","533
001","","5","3.125",".","20.0","60.0",".",".","",".","",".","20.0",".",".",".",".",".",".",".","."
"Urban Transport Planning","571
001","","13","3.731","61.5","23.1","15.4",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573
001","","15","3.536","26.7","46.7","20.0",".",".","",".","",".","6.7",".",".",".",".",".",".",".","."
"Advanced Pavement Design","576
001","","11","3.600","36.4","36.4","18.2",".",".","",".","",".","9.1",".",".",".",".",".",".",".","."
"Senior Capstone Design","578
001","","52","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579
001","","22","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","596
001","","14","3.538","42.9","14.3","35.7",".",".","",".","",".",".",".",".",".",".","7.1",".",".","."
"","596
002","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
