"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"724
PHMCOL-M","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"Cellular&Molecular Neurosci","610
001","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625
001 301","4
3.375","25.0","25.0","","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Cellulr Signal Transductn Mech","630
001","13
3.042","7.7",".","","76.9","7.7","",".","",".","",".",".",".",".",".",".",".",".","7.7","."
"","699
007","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
008","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
011","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
024","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","4
4.000","75.0",".","",".",".","",".","",".","",".",".",".",".",".",".","25.0",".",".","."
"Pharmacology I","717
001","6
3.333","16.7","33.3","","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar & Journal Club","901
001","41
3.649","53.7","34.1","","7.3",".","","4.9","",".","",".",".",".",".",".",".",".",".",".","."
"","920
008","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","920
009","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Treatment-Cancer Pain-CSC","Course Total","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
006","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
007","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
008","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
010","9",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
011","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
012","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
013","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
015","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
016","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
018","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
019","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
020","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
021","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
022","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
025","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","44",".",".","",".",".","",".","",".","",".","72.7",".",".",".","27.3",".",".",".","."
