"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"272
CURRIC","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Stdt Tchg-Health Education","457
001","","3","",".",".","",".",".","",".","",".","",".",".",".","66.7",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","7","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","6","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","74","4.000","98.6",".","",".",".","",".","",".","",".",".",".",".",".",".","1.4",".",".","."
"Stdt Tchg in Elem School","464
001","","55","",".",".","",".",".","",".","",".","",".",".",".","92.7",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","","12","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","466
001","","2","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","466
002","","9","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","","11","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","467
001","","3","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","467
002","","8","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","","11","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","5","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","7","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","4","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","8","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","8","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","9","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","","8","",".",".","",".",".","",".","",".","",".",".",".","75.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","","16","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","","105","3.929","90.5","6.7","","1.0","1.9","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","506
001 302 6","","28","3.958","78.6","7.1","",".",".","",".","",".","",".",".",".",".",".",".","14.3",".",".","."
"","506
001 303 6","","28","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","506
001 301 6","","30","3.983","96.7","3.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","86","3.982","91.9","3.5","",".",".","",".","",".","",".",".",".",".",".",".","4.7",".",".","."
"Instrctnl Computn-Schools I","514
001","","12","3.917","83.3","16.7","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","537
001","","21","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","537
002","","20","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","537
003","","19","4.000","94.7",".","",".",".","",".","",".","",".",".",".",".",".",".","5.3",".",".","."
"Teaching Diverse Learners","Course Total","","60","4.000","98.3",".","",".",".","",".","",".","",".",".",".",".",".",".","1.7",".",".","."
"Adv Pract-Teach Soc Studies","559
001","","13","3.692","38.5","61.5","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561
001","","28","3.929","85.7","14.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Prob-Tchg Foreign Lang","564
001","","10","3.900","90.0",".","","10.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
