"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"970
ZOOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","160
001 302","4","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 303","4","2.750","25.0",".","25.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 304","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 305","3","2.833",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Heredity","Course Total","19","2.658","15.8","10.5","26.3","5.3","31.6","5.3","5.3",".",".",".",".",".",".",".",".","."
"Directed Study","199
025","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001","43","3.337","34.9","11.6","44.2","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","260
001 302","11","3.045","18.2","27.3","45.5",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","260
001 301","4","3.250","25.0",".","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","Course Total","58","3.276","31.0","13.8","46.6","3.4","3.4",".","1.7",".",".",".",".",".",".",".",".","."
"","302
001 401","7","3.500","57.1","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","302
001 402","9","3.167","22.2","44.4",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","302
001 403","9","3.278","33.3","22.2","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","Course Total","25","3.300","36.0","28.0","12.0","8.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","121","3.115","30.6","3.3","43.8","2.5","9.9","5.0","1.7",".",".",".",".",".",".","3.3",".","."
"","316
001","17","3.412","35.3","11.8","52.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","18","3.333","38.9",".","55.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","316
003","22","3.295","40.9","4.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","57","3.342","38.6","5.3","47.4","3.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","330
001 305","17","2.906","29.4","11.8","17.6","5.9","5.9","17.6","5.9",".",".",".",".",".","5.9",".",".","."
"","330
001 304","13","2.577","7.7","7.7","38.5","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"","330
001 301","13","3.000","7.7","23.1","46.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","330
001 302","14","2.821",".","21.4","50.0",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","330
001 303","16","2.750","6.3","6.3","50.0","6.3","31.3",".",".",".",".",".",".",".",".",".",".","."
"","330
001 306","12","2.542","8.3",".","33.3","8.3","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"Ethology","Course Total","85","2.774","10.6","11.8","38.8","7.1","18.8","9.4","2.4",".",".",".",".",".","1.2",".",".","."
"","360
001 305","13","3.231","7.7","30.8","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 301","15","2.967","13.3","40.0","6.7","6.7","13.3","20.0",".",".",".",".",".",".",".",".",".","."
"","360
001 302","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","360
001 306","11","3.227","18.2","36.4","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 307","17","3.029","5.9","35.3","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","360
001 308","14","3.179","28.6","14.3","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","360
001 309","15","3.300","20.0","33.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 310","19","3.158","26.3","15.8","31.6","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","360
001 315","11","3.136","27.3","18.2","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","360
001 311","12","3.125","8.3","50.0","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","360
001 314","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 313","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 312","14","3.286","21.4","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","360
001 303","12","3.375","33.3","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","360
001 304","11","3.200","27.3","18.2","18.2","18.2","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Extinction of Species","Course Total","200","3.198","19.0","31.0","28.5","12.5","6.0","2.5",".",".",".",".",".",".","0.5",".",".","."
"Medical Entomology","371
001 301","17","3.500","41.2","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","380
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","380
002","3","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Honors Proseminar","Course Total","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics in Biology","400
003","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
