"650
MOL BIOL","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","681
001","","6","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"Senior Thesis","691
001","","3","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"Directed Studies-Molec Biol","699
001","","16","3.900","81.3","18.8","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"650
MOL BIOL","Dept. Total","","25","3.900","52.0","12.0","",".",".","",".","",".","",".","",".","",".",".","",".","36.0","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"650
MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","23","3.886","47.8","13.0","",".",".","",".","",".","",".","",".","",".",".","",".","39.1","",".",".",".","."
"Undergraduates","","","25","3.900","52.0","12.0","",".",".","",".","",".","",".","",".","",".",".","",".","36.0","",".",".",".","."
"","Dept. Total","","25","3.900","52.0","12.0","",".",".","",".","",".","",".","",".","",".",".","",".","36.0","",".",".",".","."
