"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"970
ZOOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","430
001 303","32","3.125","43.8","3.1","18.8","15.6","6.3","9.4","3.1",".",".",".",".",".",".",".",".","."
"","430
001 301","18","3.056","27.8","11.1","27.8","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","430
001 304","29","3.172","31.0","10.3","37.9","3.4","17.2",".",".",".",".",".",".",".",".",".",".","."
"","430
001 302","26","3.288","50.0","3.8","15.4","15.4","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"Compar Anatomy-Vertebrates","Course Total","105","3.167","39.0","6.7","24.8","11.4","13.3","3.8","1.0",".",".",".",".",".",".",".",".","."
"","460
001 303 6","9","2.944","11.1","11.1","44.4","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"","460
001 302 6","16","3.125","12.5","18.8","56.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","460
001 301 6","16","3.156","25.0","18.8","37.5",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","460
001 304 6","19","3.105","21.1","26.3","26.3","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","Course Total","60","3.100","18.3","20.0","40.0","6.7","13.3","1.7",".",".",".",".",".",".",".",".",".","."
"","466
001 305","4","2.500","50.0",".",".",".",".","25.0","25.0",".",".",".",".",".",".",".",".","."
"","466
001 308","9","2.833","11.1","22.2","22.2","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"","466
001 306","7","2.714","14.3","28.6",".",".","28.6","28.6",".",".",".",".",".",".",".",".",".","."
"","466
001 304","5","2.900","20.0","20.0","20.0",".","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"","466
001 303","5","2.500","20.0",".",".","20.0","60.0",".",".",".",".",".",".",".",".",".",".","."
"","466
001 302","17","2.824",".","17.6","47.1","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","466
001 301","10","2.600",".","10.0","40.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"","466
001 307","7","2.857","14.3",".","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","Course Total","64","2.742","10.9","14.1","26.6","15.6","18.8","12.5","1.6",".",".",".",".",".",".",".",".","."
"","504
001 301","15","3.133","20.0","6.7","60.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","504
001","6","3.318","50.0",".","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Modeling Animal Landscapes","Course Total","21","3.175","28.6","4.8","47.6","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","523
001 301","30","3.767","66.7","26.7","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","523
001","77","3.539","45.5","26.0","20.8","2.6","3.9",".",".",".",".",".",".",".","1.3",".",".","."
"Neurobiology","Course Total","107","3.604","51.4","26.2","15.9","1.9","3.7",".",".",".",".",".",".",".","0.9",".",".","."
"","570
001","163","3.081","28.2","5.5","39.3","4.3","18.4","2.5",".",".",".",".",".",".","1.2","0.6",".","."
"","570
001 301","16","3.156","25.0","6.3","56.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Cell Biology","Course Total","179","3.088","27.9","5.6","40.8","3.9","17.9","2.2",".",".",".",".",".",".","1.1","0.6",".","."
"Cellulr Signal Transductn Mech","630
001","7","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone-Field Biology I","639
001","13","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","679
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679
002","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis Progress Seminar","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
017","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","681
027","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
033","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
040","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","681
065","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","681
068","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","6","4.000","16.7",".",".",".",".",".",".",".",".",".",".","50.0","33.3",".",".","."
"","682
021","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
033","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
040","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
068","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691
030","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","691
050","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 365 of 441",""
