"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"612
M E","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Elementary Heat Transfer","Course Total","","92","2.929","7.6","27.2","22.8","26.1","15.2",".","",".",".",".",".",".",".","1.1",".",".","."
"","368
001 304","","10","3.250","20.0","30.0","30.0","20.0",".",".","",".",".",".",".",".",".",".",".",".","."
"","368
001 301","","10","3.250",".","70.0","20.0",".",".","10.0","",".",".",".",".",".",".",".",".",".","."
"","368
001 307","","12","3.167","16.7","25.0","41.7","8.3","8.3",".","",".",".",".",".",".",".",".",".",".","."
"","368
001 303","","12","2.792","8.3","16.7","25.0","25.0","25.0",".","",".",".",".",".",".",".",".",".",".","."
"","368
001 305","","12","3.333","8.3","66.7","16.7",".","8.3",".","",".",".",".",".",".",".",".",".",".","."
"","368
001 306","","11","3.318",".","63.6","36.4",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","368
001 302","","12","3.083","8.3","33.3","33.3","16.7","8.3",".","",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","Course Total","","79","3.165","8.9","43.0","29.1","10.1","7.6","1.3","",".",".",".",".",".",".",".",".",".","."
"","370
001 302","","7","2.857",".",".","71.4","28.6",".",".","",".",".",".",".",".",".",".",".",".","."
"","370
001 305","","11","2.636",".","9.1","27.3","45.5","18.2",".","",".",".",".",".",".",".",".",".",".","."
"","370
001 306","","9","2.889","22.2","11.1","11.1","33.3","22.2",".","",".",".",".",".",".",".",".",".",".","."
"","370
001 303","","11","2.864","18.2","18.2","9.1","27.3","27.3",".","",".",".",".",".",".",".",".",".",".","."
"","370
001 301","","12","2.750","8.3","8.3","33.3","25.0","25.0",".","",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","Course Total","","50","2.790","10.0","10.0","28.0","32.0","20.0",".","",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","","6","3.500","33.3","33.3","33.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","417
001","","9","3.667","55.6","22.2","22.2",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","417
002","","3","4.000","33.3",".",".",".",".",".","",".",".",".",".",".",".","66.7",".",".","."
"","417
004","","3","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","417
006","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"Intro to Polymer Processing","Course Total","","16","3.700","37.5","12.5","12.5",".",".",".","",".",".",".",".",".",".","37.5",".",".","."
"","418
001","","35","3.529","40.0","28.6","22.9","5.7",".",".","",".",".",".",".",".",".","2.9",".",".","."
"","418
002","","26","3.767","38.5","11.5","7.7",".",".",".","",".",".",".",".",".",".","42.3",".",".","."
"","418
003","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","418
004","","6","3.750","16.7","16.7",".",".",".",".","",".",".",".",".",".",".","66.7",".",".","."
"","418
005","","1","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","418
006","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"Engr Design with Polymers","Course Total","","71","3.620","38.0","21.1","14.1","2.8",".",".","",".",".",".",".",".",".","23.9",".",".","."
"","424
001 311","","5","3.700","60.0","20.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 313","","3","3.167",".","66.7",".","33.3",".",".","",".",".",".",".",".",".",".",".",".","."
"","424
001 312","","3","3.500","33.3","33.3","33.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","Course Total","","11","3.500","36.4","36.4","18.2","9.1",".",".","",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","","17","3.471","47.1","11.8","29.4","11.8",".",".","",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","","10","3.500","30.0","50.0","10.0","10.0",".",".","",".",".",".",".",".",".",".",".",".","."
"","446
001","","27","3.074","33.3","11.1","22.2","3.7","14.8","14.8","",".",".",".",".",".",".",".",".",".","."
"","446
002","","3","3.250",".","33.3","33.3",".",".",".","",".",".",".",".",".",".","33.3",".",".","."
"","446
003","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","446
004","","5","3.000",".","40.0",".",".","20.0",".","",".",".",".",".",".",".","40.0",".",".","."
"Automatic Controls","Course Total","","36","3.106","27.8","16.7","19.4","2.8","13.9","11.1","",".",".",".",".",".",".","8.3",".",".","."
"Kinemtcs&Dynmcs-Machine Sys","451
001","","17","3.853","76.5","17.6","5.9",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","","31","3.306","32.3","19.4","25.8","22.6",".",".","",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
014","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","491
010","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","491
017","","6","3.438","16.7","50.0","33.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","491
050","","27","3.438","37.0","22.2","22.2","3.7","7.4",".","",".",".",".",".",".",".","7.4",".",".","."
"","491
053","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 134 of 441",""
