"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"250
COM ARTS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Mass Media & Human Behavior","Course Total","119","3.191","16.8","28.6","38.7","9.2","5.0",".","0.8","0.8",".",".",".",".",".",".",".","."
"Global Media Cultures","458
001","41","2.951","17.1","19.5","24.4","14.6","17.1","7.3",".",".",".",".",".",".",".",".",".","."
"","460
001 302 6","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001 301 6","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","28.6","14.3",".","."
"Italian Film","Course Total","11","3.938","63.6","9.1",".",".",".",".",".",".",".",".",".",".","18.2","9.1",".","."
"Interdis Studies in the Arts","469
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472
001","17","2.676","5.9","11.8","29.4","17.6","35.3",".",".",".",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556
001 301","24","2.958","20.8","12.5","37.5","12.5","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"Public, Community&Alt Media","558
001","18","3.472","27.8","50.0","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Communication Theory","560
001","19","3.342","26.3","21.1","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565
001","96","3.930","85.4","9.4","2.1",".",".",".",".","2.1",".",".",".",".","1.0",".",".","."
"Interpersonal Influence","568
001","24","3.750","58.3","25.0","4.2","4.2",".",".",".",".",".",".",".",".","8.3",".",".","."
"Classical Rhetorical Theory","570
001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Rhetorical Criticism","576
001","17","3.500","58.8","23.5","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","613
003","26","3.346","15.4","42.3","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","613
004","13","3.423","53.8","30.8",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","613
005","19","3.735","47.4","36.8","5.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Topics; Broadcasting & Film","Course Total","58","3.482","34.5","37.9","19.0","3.4",".",".","1.7",".",".",".",".",".","3.4",".",".","."
"","614
003","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614
004","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","614
013","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","614
016","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","614
019","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","614
032","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","614
034","1","",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".","."
"","614
038","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","8","",".",".",".",".",".",".",".",".",".","75.0",".",".",".","12.5",".","."
"","651
001 302","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001 301","13","3.192","23.1","30.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Video Productn&Directn","Course Total","22","3.295","27.3","27.3","27.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","656
001","11","3.500","45.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"","656
002","11","2.944","9.1","9.1","36.4","18.2",".","9.1",".",".",".",".",".",".","18.2",".",".","."
"Adv Motion Picture Productn","Course Total","22","3.237","27.3","9.1","31.8","13.6",".","4.5",".",".",".",".",".",".","13.6",".",".","."
"","658
001","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","658
002","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","Course Total","28","3.446","21.4","46.4","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Film Theory","664
001 301","37","3.303","37.8","10.8","18.9","10.8","10.8",".",".","8.1",".",".",".",".",".","2.7",".","."
"Senior Honors Thesis","681
004","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","682
003","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698
012","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
010","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","699
016","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
