"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"512
JOURN","","Grades","GPA","","","","","","","","","","","","","","","",""
"Magazines&Magazine Editing","417
001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001 302","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","40","3.663","47.5","42.5","7.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449
002","21","3.357","19.0","47.6","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
002","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public, Community&Alt Media","558
001","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","559
001 304","25","3.063","28.0","24.0","12.0","12.0","12.0","4.0","4.0",".",".",".",".",".",".","4.0",".","."
"","559
001 301","24","2.543","4.2","8.3","16.7","29.2","29.2","8.3",".",".",".",".",".",".",".","4.2",".","."
"","559
001 305","20","2.868","10.0","20.0","25.0","15.0","10.0","15.0",".",".",".",".",".",".",".","5.0",".","."
"","559
001 302","18","2.694",".","22.2","27.8","16.7","27.8","5.6",".",".",".",".",".",".",".",".",".","."
"","559
001 303","20","2.775","5.0","10.0","45.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","Course Total","107","2.793","10.3","16.8","24.3","17.8","19.6","7.5","0.9",".",".",".",".",".",".","2.8",".","."
"","560
001 301","13","3.042","7.7","46.2","23.1","7.7",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"","560
001 303","19","3.353","15.8","31.6","42.1",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","560
001 305","20","3.250","10.0","35.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001 304","12","3.208","8.3","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001 302","19","3.316","10.5","47.4","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","Course Total","83","3.250","10.8","38.6","41.0","4.8",".",".","1.2","3.6",".",".",".",".",".",".",".","."
"","565
001 304","15","3.200","20.0","13.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","565
001 302","21","3.024","4.8","33.3","33.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","565
001 301","24","3.174","4.2","37.5","41.7","12.5",".",".",".","4.2",".",".",".",".",".",".",".","."
"","565
001 305","24","3.146","4.2","41.7","33.3","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"","565
001 303","18","3.167","16.7","38.9","11.1","27.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","Course Total","102","3.139","8.8","34.3","34.3","18.6","2.9",".",".","1.0",".",".",".",".",".",".",".","."
"International Communication","620
001","17","3.469","23.5","47.1","17.6","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","658
001 304","4","2.250","25.0",".","25.0",".","25.0",".","25.0",".",".",".",".",".",".",".",".","."
"","658
001 306","11","3.591","45.5","45.5",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","658
001 305","20","3.474","50.0","10.0","20.0","10.0",".","5.0",".",".",".",".",".",".","5.0",".",".","."
"Communication Rsch Methods","Course Total","35","3.368","45.7","20.0","14.3","5.7","5.7","2.9","2.9",".",".",".",".",".","2.9",".",".","."
"Mass Media and Minorities","662
002","23","3.630","34.8","56.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675
038","25","3.220","12.0","36.0","36.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","676
006","35","3.771","57.1","40.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
014","13","3.909","69.2","15.4",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Topics-Mass Communication","Course Total","48","3.804","60.4","33.3","2.1",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Senior Honors Thesis","681
092","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","697
005","3","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
006","5","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
007","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
024","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
094","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internship","Course Total","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
003","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","699
006","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
035","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
036","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
