"CURRICULUM AND INSTRUCTIO","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"272
CURRIC","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"","916
003","13
3.833","30.8","15.4","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Rsch&Eval-C&I","Course Total","38
3.938","55.3","7.9","",".",".","",".","",".","",".",".",".",".",".",".","15.8",".","2.6","."
"Smr-Rsch on Math Education","942
001","11
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Current Issues in Music Educ","947
001","11
4.000","81.8",".","",".",".","",".","",".","",".",".",".",".",".",".","18.2",".",".","."
"Pre&In-Service Ed-Teachers","950
001","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","975
001","11
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","975
002","4
4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","975
003","14
4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","975
005","7
3.842","85.7",".","","14.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","36
3.962","72.2",".","","2.8",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
005","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
006","9",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
013","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
017","6",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
032","7",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
039","3",".",".","",".",".","",".","",".","",".","33.3",".",".",".","33.3","33.3",".",".","."
"","990
047","13",".",".","",".",".","",".","",".","",".","53.8",".",".",".","46.2",".",".",".","."
"","990
051","8",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
052","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
053","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
056","8",".",".","",".",".","",".","",".","",".","87.5",".",".",".",".","12.5",".",".","."
"","990
057","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
059","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
068","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
071","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
073","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
074","3",".",".","",".",".","",".","",".","",".","66.7","33.3",".",".",".",".",".",".","."
"","990
075","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
084","3",".",".","",".",".","",".","",".","",".","66.7",".",".",".",".","33.3",".",".","."
"","990
085","6",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
095","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Research or Thesis","Course Total","88",".",".","",".",".","",".","",".","",".","64.8","1.1",".",".","30.7","3.4",".",".","."
"","999
005","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
006","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
032","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
047","4
4.000","75.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
056","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
059","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
067","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
075","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
084","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
092","4
4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".","50.0","."
"","999
095","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
105","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
195","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","27
4.000","74.1",".","",".",".","",".","",".","",".","14.8",".",".",".",".",".",".","7.4","."
