"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","234
001 307","23","3.348","47.8","17.4","13.0",".","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"","234
001 308","23","3.261","39.1","21.7","21.7","4.3","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"","234
001 310","19","2.895","15.8","21.1","36.8",".","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","234
001 309","23","3.087","39.1",".","39.1",".","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","Section Total","266","3.154","35.0","16.5","27.1","2.3","12.8","2.6","3.8",".",".",".",".",".",".",".",".","."
"","234
002 323","24","2.348","8.3","4.2","20.8","12.5","29.2","12.5","8.3",".","4.2",".",".",".",".",".",".","."
"","234
002 330","22","2.682","13.6","4.5","31.8","22.7","18.2","4.5","4.5",".",".",".",".",".",".",".",".","."
"","234
002 329","21","2.548","19.0","9.5","23.8","14.3","9.5","9.5","14.3",".",".",".",".",".",".",".",".","."
"","234
002 322","21","2.762","19.0","4.8","28.6","23.8","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","234
002 324","20","2.750","10.0","10.0","25.0","30.0","10.0","15.0",".",".",".",".",".",".",".",".",".","."
"","234
002 321","22","2.614","4.5","9.1","27.3","22.7","22.7","13.6",".",".",".",".",".",".",".",".",".","."
"","234
002 332","18","2.556","5.6","16.7","22.2","16.7","27.8","5.6","5.6",".",".",".",".",".",".",".",".","."
"","234
002 331","21","2.825","19.0","9.5","23.8","4.8","33.3","4.8",".",".",".",".",".",".","4.8",".",".","."
"","Section Total","169","2.632","12.4","8.3","25.4","18.3","21.3","8.3","4.7",".","0.6",".",".",".","0.6",".",".","."
"","234
003 347","24","2.833","20.8","16.7","16.7","16.7","16.7","8.3","4.2",".",".",".",".",".",".",".",".","."
"","234
003 351","21","2.643","28.6","14.3","14.3",".","28.6",".","14.3",".",".",".",".",".",".",".",".","."
"","234
003 345","23","2.783","21.7","13.0","26.1","13.0","13.0","4.3","8.7",".",".",".",".",".",".",".",".","."
"","234
003 350","20","3.026","25.0","25.0","15.0","10.0","15.0",".","5.0",".",".",".",".",".","5.0",".",".","."
"","234
003 349","20","2.750","20.0","10.0","20.0","20.0","25.0",".","5.0",".",".",".",".",".",".",".",".","."
