"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"224
CHEM","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","562
001 301","","17","3.088","23.5","23.5","35.3","5.9","5.9",".","5.9",".",".",".",".",".","",".",".",".","."
"","562
001 303","","20","2.725","10.0","15.0","20.0","20.0","15.0","20.0",".",".",".",".",".",".","",".",".",".","."
"Physical Chemistry","Course Total","","61","3.016","23.0","16.4","27.9","13.1","11.5","6.6","1.6",".",".",".",".",".","",".",".",".","."
"","565
001 304","","23","2.848","30.4",".","21.7","21.7","13.0","8.7","4.3",".",".",".",".",".","",".",".",".","."
"","565
001 303","","25","2.820","24.0","4.0","36.0","16.0","12.0",".","8.0",".",".",".",".",".","",".",".",".","."
"","565
001 302","","25","3.160","32.0","8.0","36.0","8.0","4.0","12.0",".",".",".",".",".",".","",".",".",".","."
"","565
001 301","","22","3.136","27.3","27.3","22.7","9.1","4.5","4.5","4.5",".",".",".",".",".","",".",".",".","."
"Biophysical Chemistry","Course Total","","95","2.989","28.4","9.5","29.5","13.7","8.4","6.3","4.2",".",".",".",".",".","",".",".",".","."
"Spectrochemical Measuremts","605
001","","28","3.481","35.7","21.4","39.3",".",".",".",".",".",".",".",".",".","",".","3.6",".","."
"Symmtry/Bondng/Molec Shapes","608
001","","10","3.586","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","621
001","","2","3.214",".","50.0","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","621
001 302","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","621
001 301","","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Instrumental Analysis","Course Total","","12","3.755","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Experimental Spectroscopy","623
001","","18","3.936","94.4",".",".","5.6",".",".",".",".",".",".",".",".","",".",".",".","."
"Topics-Analytical Chemistry","630
001","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Topics-Chem Instrumentatn: NMR","636
001","","27","3.827","66.7","25.9","3.7",".",".",".",".","3.7",".",".",".",".","",".",".",".","."
"Advanced Organic Chemistry","641
001","","23","3.717","60.9","21.7","17.4",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Chem & Stat Thermodynamics","661
001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Phys Chem of Macromolecules","664
001","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Biophysical Chemistry","665
001 301","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".","",".",".",".","."
"Intro Quantum Chemistry","675
001","","22","3.409","50.0","13.6","9.1","22.7","4.5",".",".",".",".",".",".",".","",".",".",".","."
"","681
009","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0","",".",".",".","."
"","681
023","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0","",".",".",".","."
"","681
035","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0","",".",".",".","."
"Senior Honors Thesis","Course Total","","3","",".",".",".",".",".",".",".",".",".",".",".","100.0","",".",".",".","."
"","682
003","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","682
042","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Senior Honors Thesis","Course Total","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
003","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
013","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
014","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
023","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
026","","2","3.700","50.0","50.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
030","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
035","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
042","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
043","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
046","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
047","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
048","","2","3.333","50.0",".",".",".","50.0",".",".",".",".",".",".",".","",".",".",".","."
"","699
049","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
050","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
053","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
058","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","699
060","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
