"OPERATIONS & INFORMATION M Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"238
O I M","","Grades","GPA","","","","","","","","","","","","","","","",""
"","350
001 301","23","3.130","21.7","17.4","39.1","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","350
001 304","5","2.500",".",".","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","350
001 305","9","3.000","22.2","22.2","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","350
001 306","11","2.955","9.1","18.2","45.5","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","350
001 310","4","3.000",".","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001 303","30","3.000","20.0","16.7","23.3","23.3","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"","350
001 307","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","350
001 308","4","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001 311","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001 309","8","3.063",".","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001 302","21","3.310","38.1","9.5","33.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","350
001 312","4","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","122","3.045","18.9","16.4","32.8","18.9","12.3","0.8",".",".",".",".",".",".",".",".",".","."
"","350
002 307","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002 309","22","2.864","4.5","31.8","22.7","13.6","27.3",".",".",".",".",".",".",".",".",".",".","."
"","350
002 301","11","3.045","27.3","18.2","18.2","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","350
002 304","25","3.000","20.0","16.0","44.0",".","16.0",".","4.0",".",".",".",".",".",".",".",".","."
"","350
002 305","25","3.060","20.0","28.0","24.0","16.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","350
002 306","23","3.023","13.0","13.0","39.1","26.1","4.3",".",".",".",".",".",".",".",".",".","4.3","."
"","350
002 312","28","3.000","25.0","10.7","25.0","17.9","21.4",".",".",".",".",".",".",".",".",".",".","."
"","350
002 303","4","2.875","25.0",".","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".","."
"","350
002 311","9","2.875","11.1","11.1","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".","11.1","."
"","350
002 310","3","2.833",".",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002 308","21","2.905","9.5","28.6","23.8","9.5","28.6",".",".",".",".",".",".",".",".",".",".","."
"","350
002 302","8","2.625","12.5","12.5","37.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","Section Total","183","2.975","16.9","19.7","29.0","14.8","15.3","1.6","1.6",".",".",".",".",".",".",".","1.1","."
"Mgmt-Serv&Manufctng Operatn","Course Total","305","3.003","17.7","18.4","30.5","16.4","14.1","1.3","1.0",".",".",".",".",".",".",".","0.7","."
"Operations Research I","410
001","26","3.500","23.1","57.7","11.5",".","3.8",".",".",".",".",".",".",".",".","3.8",".","."
"Economics of Transportation","444
001","5","3.600","80.0",".",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","11","3.700","45.5","36.4","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".",".","50.0",".","."
"Transp & Business Logistics","640
001","16","3.464","31.3","18.8","37.5",".",".",".",".",".",".",".",".",".","6.3","6.3",".","."
"Operations Research I","710
001","17","3.588","52.9","11.8","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","42","3.563","40.5","28.6","23.8","2.4",".",".",".",".",".",".",".",".",".",".","4.8","."
"","730
002","44","3.395","31.8","31.8","20.5","9.1","4.5",".",".",".",".",".",".",".",".",".","2.3","."
"Managerial Economics","Course Total","86","3.476","36.0","30.2","22.1","5.8","2.3",".",".",".",".",".",".",".",".",".","3.5","."
"Economics of Transportation","744
001","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
001","51","3.920","86.3","9.8",".","2.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"","750
002","50","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","101","3.940","89.1","8.9",".","1.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"Service Operations Managmnt","751
001","5","3.300",".","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech Change-Mfg Syst","758
001","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","37","3.757","64.9","27.0","2.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","73","3.863","80.8","13.7","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001 301","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001 302","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 63 of 441",""
