"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"612
M E","","Grades","GPA","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","22","4.000","72.7",".",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"","160
001","22","3.432","40.9","36.4","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","160
002","24","3.348","50.0","12.5","12.5","12.5","4.2",".","4.2",".",".",".",".",".","4.2",".",".","."
"","160
003","24","3.604","58.3","20.8","12.5",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","70","3.464","50.0","22.9","12.9","5.7","2.9","1.4","2.9",".",".",".",".",".","1.4",".",".","."
"","170
001","22","3.250","22.7","40.9","13.6","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","170
002","18","3.444","50.0","27.8","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","170
003","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","60","3.417","35.0","38.3","15.0","5.0","3.3","1.7","1.7",".",".",".",".",".",".",".",".","."
"","231
001 308","23","3.174","13.0","34.8","34.8","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","231
001 306","19","2.842","15.8","31.6","5.3","21.1","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","231
001 304","18","3.167","33.3","16.7","22.2","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"","231
001 303","21","3.024","23.8","33.3","9.5","9.5","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","231
001 301","21","3.167","23.8","33.3","9.5","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"","231
001 302","24","3.083","8.3","25.0","45.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","Course Total","126","3.079","19.0","29.4","22.2","13.5","13.5","0.8","1.6",".",".",".",".",".",".",".",".","."
"","232
001 301","23","3.174","30.4","21.7","21.7","21.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"","232
001 302","24","2.978","16.7","12.5","29.2","25.0","12.5",".",".",".",".",".",".",".","4.2",".",".","."
"","232
001 305","24","3.250","8.3","54.2","20.8","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","232
001 306","22","3.095","9.1","31.8","31.8","13.6","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"Geom Modeling-Engr Applcatn","Course Total","93","3.126","16.1","30.1","25.8","18.3","6.5",".","1.1",".",".",".",".",".","2.2",".",".","."
"","240
001","21","2.763","23.8","19.0","14.3","14.3","4.8",".","14.3","4.8",".",".",".",".","4.8",".",".","."
"","240
002","25","2.580","20.0","8.0","12.0","4.0","48.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","240
003","23","3.609","60.9","17.4","13.0",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","240
004","22","2.614","13.6","18.2","18.2","13.6","22.7","4.5","9.1",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","91","2.893","29.7","15.4","14.3","7.7","22.0","2.2","6.6","1.1",".",".",".",".","1.1",".",".","."
"","291
016","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","291
017","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","291
018","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","291
021","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","291
050","15","3.567","40.0","33.3","13.3","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Undergrad Mech Engr Project","Course Total","19","3.625","47.4","26.3","15.8","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","299
015","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
019","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
050","9","3.625","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","299
059","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","12","3.750","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","306
001","21","2.905","19.0","19.0","23.8","19.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","306
002","22","2.795","22.7","4.5","22.7","9.1","36.4","4.5",".",".",".",".",".",".",".",".",".","."
"","306
003","24","2.804","25.0","12.5","12.5","8.3","25.0","8.3","4.2","4.2",".",".",".",".",".",".",".","."
"","306
004","24","2.813","12.5","20.8","16.7","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","91","2.828","19.8","14.3","18.7","13.2","24.2","6.6","2.2","1.1",".",".",".",".",".",".",".","."
"","307
001","15","3.000","6.7","26.7","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","307
002","14","3.321","21.4","21.4","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","13","3.077","23.1","23.1","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","307
004","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","12","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
