"ALS","","","","","","","","","","","","","","","","","","",""
"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"412
GENETICS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Advanced Genetics","701
001","25","3.400","16.0","52.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Regul Mechanisms-Plant Dev","840
001","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Animal Breeding","951
001","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
007","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
027","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
028","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
034","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
035","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
037","21","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
042","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
043","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
044","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
051","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
056","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
062","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
070","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
074","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
083","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
084","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
087","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
091","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
093","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
094","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
095","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
096","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
099","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
100","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
102","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
103","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","77","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
"Seminar in Genetics","993
001","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
GENETICS","Dept. Total","578","2.980","25.1","12.1","18.0","8.7","15.9","4.7","1.0","8.5","0.2",".",".","5.2","0.2","0.2","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.000","50.0",".",".",".",".","50.0",".",".",".",".",".",".",".",".",".","."
"Sophomore","","54","2.776","18.5","5.6","29.6","13.0","22.2","7.4","1.9",".",".",".",".",".",".",".","1.9","."
"Junior","","162","2.882","28.4","9.3","16.7","13.6","22.8","6.8","1.2",".",".",".",".",".","0.6","0.6",".","."
"Senior","","181","2.908","29.8","7.7","22.7","8.3","23.2","5.5","1.7",".",".",".",".","1.1",".",".",".","."
"Undergraduates","","399","2.880","27.8","8.0","21.1","11.0","22.8","6.5","1.5",".",".",".",".","0.5","0.3","0.3","0.3","."
"Special","","6","3.300","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7","."
"Graduate","","172","3.500","18.6","20.9","11.0","2.9","0.6","0.6",".","28.5","0.6",".",".","16.3",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","578","2.980","25.1","12.1","18.0","8.7","15.9","4.7","1.0","8.5","0.2",".",".","5.2","0.2","0.2","0.3","."
