"ENVIR ST - GAYLORD NELSON IN Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"360
ENVIR ST","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","360
001 315","","2","3.250",".","50.0","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 314","","2","3.500","50.0",".","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 313","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 304","","2","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 306","","2","3.500","50.0",".","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 309","","1","2.500",".",".",".","100.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 308","","3","3.000","33.3",".","33.3",".","33.3","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 305","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 311","","1","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","360
001 302","","3","3.667","33.3","66.7",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","Course Total","","24","3.229","29.2","16.7","37.5","4.2","12.5","",".",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375
001","","18","3.611","33.3","55.6","11.1",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","377
001 304","","1","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","377
001 303","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","377
001 302","","2","3.500","50.0",".","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","377
001 301","","2","3.000","50.0",".",".",".","50.0","",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","Course Total","","6","3.250","33.3","16.7","33.3",".","16.7","",".",".",".",".",".",".",".",".",".",".","."
"","400
001","","22","3.750","59.1","31.8","9.1",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","400
002","","18","3.452","22.2","44.4","22.2","5.6",".","",".",".",".",".",".",".",".",".","5.6",".","."
"","400
003","","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","Course Total","","45","3.662","48.9","33.3","13.3","2.2",".","",".",".",".",".",".",".",".",".","2.2",".","."
"Geom Anal-Vert Aerial Photo","403
001 301","","2","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Minerals - A Public Problem","410
001","","10","3.111","10.0","20.0","40.0","20.0",".","",".",".",".",".",".",".",".","10.0",".",".","."
"Energy Resources","411
001","","21","3.350","28.6","19.0","42.9",".","4.8","",".",".","4.8",".",".",".",".",".",".",".","."
"","441
001 305","","2","3.000",".","50.0",".","50.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","441
001 302","","8","3.250","12.5","25.0","62.5",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","441
001 301","","3","3.167",".","66.7",".","33.3",".","",".",".",".",".",".",".",".",".",".",".","."
"","441
001 303","","8","3.857","62.5","25.0",".",".",".","",".",".",".",".",".",".",".",".","12.5",".","."
"Environmental Ethics","Course Total","","21","3.425","28.6","33.3","23.8","9.5",".","",".",".",".",".",".",".",".",".","4.8",".","."
"Air Pollution&Human Health","502
001","","36","3.500","36.1","30.6","25.0","5.6",".","",".",".","2.8",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","","5","3.200",".","60.0","20.0","20.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","600
001","","23","3.261","26.1","26.1","43.5",".",".","",".","4.3",".",".",".",".",".",".",".",".","."
"","600
002","","11","3.318","18.2","36.4","36.4","9.1",".","",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","34","3.279","23.5","29.4","41.2","2.9",".","",".","2.9",".",".",".",".",".",".",".",".","."
"","681
009","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","681
021","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"Senior Honors Thesis","Course Total","","2","4.000","50.0",".",".",".",".","",".",".",".",".",".",".",".","50.0",".",".","."
"Senior Honors Thesis","682
001","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","695
001 301","","5","3.000",".","20.0","60.0","20.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","695
001 302","","10","3.750","60.0","30.0","10.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","695
001 303","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","Course Total","","16","3.531","43.8","25.0","25.0","6.3",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","699
003","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
009","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
029","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
043","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 154 of 441",""
