"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"KINES","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.589","58.3","16.7","16.7","8.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","55","3.700","65.5","21.8","10.9",".",".",".","1.8",".","",".",".","",".","",".",".",".",".","."
"Junior","","169","3.452","37.9","30.8","21.3","5.3","3.0",".",".",".","",".",".","",".","",".","0.6","1.2",".","."
"Senior","","318","3.491","46.2","25.5","16.0","4.1","4.4","0.6","0.3","1.3","",".",".","",".","",".","1.3","0.3",".","."
"Undergraduates","","554","3.499","45.8","26.5","17.1","4.2","3.4","0.4","0.4","0.7","",".",".","",".","",".","0.9","0.5",".","."
"Special","","12","3.559","25.0","50.0","16.7",".",".",".",".",".","",".",".","",".","",".","8.3",".",".","."
"Graduate","","45","3.920","44.4","6.7",".",".",".",".",".","31.1","",".","15.6","",".","",".","2.2",".",".","."
"","Dept. Total","611","3.514","45.3","25.5","15.9","3.8","3.1","0.3","0.3","2.9","",".","1.1","",".","",".","1.1","0.5",".","."
