"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"416
GEOG","","Grades","GPA","","","","","","","","","","","","","","","",""
"","127
002 314","14","2.643","7.1","14.3","28.6","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"","127
002 313","10","3.100","30.0","20.0","20.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"","127
002 312","7","2.929","14.3","28.6","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","127
002 311","11","3.091","18.2","36.4","9.1","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","127
002 309","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","127
002 307","10","3.300","50.0","10.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","127
002 318","5","3.300","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","176","3.083","26.7","21.0","20.5","11.4","17.0","1.1","1.7",".",".",".",".",".","0.6",".",".","."
"Physical Systems of Envr","Course Total","279","2.996","24.0","19.4","19.7","12.9","18.3","2.9","2.2",".","0.4",".",".",".","0.4",".",".","."
"Resources and People","139
001","120","2.948","17.5","13.3","28.3","20.0","16.7",".","0.8","0.8",".",".",".",".","2.5",".",".","."
"Map Reading&Interpretation","170
001","16","2.967","18.8","25.0","25.0","6.3","6.3","6.3","6.3",".",".",".",".",".","6.3",".",".","."
"Soil: Ecosystem & Resource","230
001","18","3.250","38.9","16.7","5.6","5.6","16.7","5.6",".",".",".",".",".",".",".","5.6","5.6","."
"Bascom Course","236
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001 301","17","2.950","29.4",".","35.3","5.9","29.4",".",".",".",".",".",".",".",".",".",".","."
"","240
001","17","2.940","17.6",".","58.8","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"Plants and Man","Course Total","34","2.946","23.5",".","47.1","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"","244
001 305","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 303","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 304","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 302","4","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 301","5","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","Course Total","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 306","4","2.500","25.0",".","50.0",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"","277
001 308","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 307","2","2.250",".",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 310","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 305","3","2.667",".",".","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","277
001 303","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 309","3","1.500",".",".",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","Course Total","15","2.333","6.7",".","40.0","13.3","26.7",".","13.3",".",".",".",".",".",".",".",".","."
"Population-Migrat&Diffusion","300
001","34","3.355","29.4","32.4","20.6","2.9","2.9",".","2.9",".",".",".",".",".","8.8",".",".","."
"Human Role-Changing Earth","303
001","23","3.326","21.7","34.8","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001 304","10","2.800","20.0",".","40.0",".","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"","305
001 301","9","2.944","11.1","11.1","55.6",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","305
001 302","11","2.409","18.2",".",".","45.5","9.1","18.2","9.1",".",".",".",".",".",".",".",".","."
"","305
001 303","12","2.900","8.3","8.3","41.7","8.3","16.7",".",".","8.3",".",".",".",".","8.3",".",".","."
"Introduction to the City","Course Total","42","2.750","14.3","4.8","33.3","14.3","19.0","7.1","2.4","2.4",".",".",".",".","2.4",".",".","."
"Geomorphology","320
001 301","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325
001","9","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","339
001 303","5","2.200",".",".","20.0",".","80.0",".",".",".",".",".",".",".",".",".",".","."
"","339
001 301","9","2.722","11.1","22.2","33.3","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"","339
001 307","4","3.375","25.0","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","339
001 308","4","2.625","25.0",".",".","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".","."
"","339
001 309","8","2.500",".","12.5","12.5","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"","339
001 310","5","3.375","20.0","40.0",".","20.0",".",".",".",".",".",".",".",".",".","20.0",".","."
"","339
001 311","3","2.500",".",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".","."
