"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"490
IND ENGR","","Grades","","GPA","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","313
001 303","","23","3.783","78.3","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001 302","","23","3.739","78.3","4.3","4.3","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001 304","","25","3.700","60.0","24.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001 301","","24","3.854","79.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","Course Total","","95","3.768","73.7","12.6","7.4","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320
001","","43","3.190","20.9","27.9","23.3","18.6","7.0",".",".",".",".",".",".",".",".",".","2.3","."
"","321
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Simulation Modeling Lab","Course Total","","27","3.962","88.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"","323
001 302","","12","3.042","25.0","25.0","25.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"","323
001 301","","23","3.152","13.0","30.4","34.8","17.4",".","4.3",".",".",".",".",".",".",".",".",".","."
"","323
001 303","","15","3.333","40.0","6.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","323
001 304","","23","3.196","30.4","13.0","34.8","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","Course Total","","73","3.185","26.0","19.2","34.2","12.3","4.1","2.7","1.4",".",".",".",".",".",".",".",".","."
"","349
001 305","","13","3.423","38.5","23.1","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","349
001 302","","15","3.143","6.7","26.7","46.7","13.3",".",".",".",".",".",".",".",".","6.7",".",".","."
"","349
001 303","","14","3.423","21.4","42.9","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","349
001 304","","14","3.357","35.7","21.4","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","Course Total","","56","3.333","25.0","28.6","28.6","14.3",".",".",".",".",".",".",".",".","3.6",".",".","."
"","415
001 304","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001 303","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001 302","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001 301","","10","3.450","50.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","Course Total","","38","3.632","55.3","28.9","5.3","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","510
001 301","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510
001 304","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510
001 302","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","Course Total","","34","3.824","67.6","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512
001","","23","3.022","13.0","34.8","8.7","30.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515
001","","62","3.798","64.5","30.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516
001","","24","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555
001","","54","3.721","55.6","27.8","13.0",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Ergonomcs-Manufact&Industry","564
001","","25","3.340","8.0","56.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","575
001 301","","19","3.447","36.8","15.8","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
001 302","","23","3.773","56.5","34.8","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","Course Total","","42","3.622","47.6","26.2","23.8",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","605
001 302","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
001 301","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","Course Total","","25","3.760","60.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Program Evaluation Sys","610
001","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","","4","3.625","75.0",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635
001","","19","3.763","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociotechnical Systems","652
001","","30","3.586","43.3","30.0","20.0","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
