"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"664
MUS PERF","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"","705
045","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","705
061","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","705
062","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Voice","Course Total","","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Flute","707
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Oboe","709
059","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Basic Violin","71
023","","31","3.952","93.5","3.2","3.2",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Clarinet","711
005","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level Tuba","725
050","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Basic Viola","73
023","","7","3.929","85.7","14.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","731
025","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","731
083","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Violin","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","732
002","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","732
038","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","732
040","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level Conducting","Course Total","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Viola","733
004","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","735
026","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","735
071","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level-Cello","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Doctoral Level Composition","747
027","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Basic Cello","75
023","","11","3.727","54.5","36.4","9.1",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Basic Guitar","76
011","","3","3.875","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Basic String Bass","77
023","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
005","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
011","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
020","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
047","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
060","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
071","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
083","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Masters Recital","Course Total","","10","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
002","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
004","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","999
005","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
010","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
011","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
025","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
026","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
029","","3","3.500","33.3",".","33.3",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","999
035","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
038","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
062","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
