"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"E ASIAN LANGUAGES & LITERA","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"295
E ASIAN","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Third Semester Korean","345
001 301","","4","3.867","75.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","351
001 301","","13","3.455","23.1","46.2","","7.7",".","","7.7","",".","",".",".",".",".",".",".","7.7","7.7",".","."
"Survey-Japanese Literature","353
001 301","","11","3.318","27.3","36.4","","9.1","27.3","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Chinese Painting","356
001","","5","2.625",".",".","","60.0",".","","20.0","","20.0","",".",".",".",".",".",".",".",".",".","."
"Arts of Japan","357
001","","19","3.136","15.8","21.1","","36.8","15.8","","5.3","",".","",".","5.3",".",".",".",".",".",".",".","."
"Language in Japanese Society","358
001","","25","3.261","4.0","48.0","","32.0","8.0","",".","",".","",".",".",".",".",".",".","8.0",".",".","."
"Introduction to Buddhism","364
001","","40","3.316","25.0","20.0","","42.5","5.0","","2.5","",".","",".","2.5",".",".",".",".","2.5",".",".","."
"Intermed Tech Japanese I","374
001","","2","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","401
001","","7","3.773","57.1","42.9","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","401
001 301","","5","3.700","40.0","60.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Chinese","Course Total","","12","3.738","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403
001","","15","3.833","60.0","13.3","","6.7",".","",".","",".","",".","20.0",".",".",".",".",".",".",".","."
"Intro-Chinese Linguistics","431
001","","7","3.840","71.4","28.6","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Pop Culture & Film-20 C China","520
001","","13","3.818","53.8","30.8","",".",".","",".","",".","",".","7.7",".",".",".",".","7.7",".",".","."
"Tchg-Japanese-Foreign Lang","623
001","","5","3.600","40.0","40.0","","20.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature","651
001","","4","3.875","75.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
004","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
013","","2","3.500",".","50.0","",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","699
020","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
023","","3","3.833","66.7","33.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
025","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
027","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
035","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.857","63.6","27.3","",".",".","",".","",".","",".",".",".",".",".",".","9.1",".",".","."
"Prosem-Chinese Literature","701
001","","4","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
023","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
035","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Reading for Research","Course Total","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Chinese Linguistics","932
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Chinese Literature","951
001","","5","3.700","40.0","60.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar in Chinese Thought","971
001","","3","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","990
004","","4","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
007","","3","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
013","","3","",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7",".",".",".","."
"","990
017","","3","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
035","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Thesis Research","Course Total","","14","",".",".","",".",".","",".","",".","",".","85.7",".",".",".","14.3",".",".",".","."
