"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","",""
"NAVAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"672
NAV SCI","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Intro to Naval Science","101
001","","25","3.220","28.0","28.0","28.0","8.0","","4.0","",".","","4.0",".",".",".",".",".",".",".",".","."
"Intro Naval Lab I","175
001 301","","20","3.857","55.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","20.0",".",".","."
"Naval Leadership&Management","201
001","","19","3.105","26.3","21.1","26.3","21.1","",".","",".","","5.3",".",".",".",".",".",".",".",".","."
"","275
001 301","","20","3.833","75.0","10.0",".","5.0","",".","",".","",".",".",".",".",".",".","10.0",".",".","."
"","275
002 301","","1","#Num!",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Elementary Naval Lab I","Course Total","","21","3.833","71.4","14.3",".","4.8","",".","",".","",".",".",".",".",".",".","9.5",".",".","."
"","301
001","","7","3.000",".","14.3","71.4","14.3","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","301
002","","6","3.417",".","83.3","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Navigation & Operations I","Course Total","","13","3.192",".","46.2","46.2","7.7","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Land Campaigns","351
001","","14","3.714","57.1","28.6","14.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intermed Naval Lab I","375
001 301","","22","3.947","77.3","13.6",".",".","",".","",".","",".",".",".",".",".",".","9.1",".",".","."
"Naval Weapons","401
001","","10","3.611","50.0","20.0","10.0","10.0","",".","",".","",".","10.0",".",".",".",".",".",".",".","."
"","475
001 301","","8","4.000","87.5",".",".",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"","475
002 301","","2","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Advanced Naval Laboratory I","Course Total","","10","4.000","70.0",".",".",".","",".","",".","",".",".",".",".",".",".","30.0",".",".","."
"","575
001 301","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","575
002 301","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professional Naval Lab I","Course Total","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"672
NAV SCI","Dept. Total","","157","3.436","49.7","21.7","13.4","5.7","","0.6","",".","","1.3","0.6",".",".",".",".","7.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","33","3.404","45.5","33.3","12.1",".","","3.0","",".","","3.0",".",".",".",".",".","3.0",".",".","."
"Sophomore","","","43","3.171","41.9","14.0","14.0","16.3","",".","",".","","2.3",".",".",".",".",".","11.6",".",".","."
"Junior","","","55","3.496","50.9","23.6","18.2","1.8","",".","",".","",".","1.8",".",".",".",".","3.6",".",".","."
"Senior","","","26","3.756","65.4","15.4","3.8","3.8","",".","",".","",".",".",".",".",".",".","11.5",".",".","."
"Undergraduates","","","157","3.436","49.7","21.7","13.4","5.7","","0.6","",".","","1.3","0.6",".",".",".",".","7.0",".",".","."
"","Dept. Total","","157","3.436","49.7","21.7","13.4","5.7","","0.6","",".","","1.3","0.6",".",".",".",".","7.0",".",".","."
