"BOTANY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"208
BOTANY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","123
001 308","11","3.273","27.3","27.3","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","123
001 306","14","2.786","21.4","7.1","28.6","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","123
001 305","13","3.000","15.4","15.4","46.2",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","123
001 304","12","3.250","41.7","16.7","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","123
001 302","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","123
001 301","8","3.500","50.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","123
001 307","11","3.091","18.2","9.1","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","Course Total","84","3.167","27.4","20.2","29.8","8.3","10.7","2.4","1.2",".",".",".",".",".",".",".",".","."
"","130
001 306 6","20","2.658","5.0","10.0","30.0","15.0","20.0","15.0",".",".",".",".",".",".","5.0",".",".","."
"","130
001 310 6","20","2.925","30.0","5.0","15.0","20.0","15.0","15.0",".",".",".",".",".",".",".",".",".","."
"","130
001 301 6","18","2.639","11.1","5.6","27.8","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"","130
001 302 6","19","3.000","15.8","36.8","10.5","5.3","31.6",".",".",".",".",".",".",".",".",".",".","."
"","130
001 303 6","19","2.684","15.8",".","31.6","10.5","26.3","15.8",".",".",".",".",".",".",".",".",".","."
"","130
001 304 6","20","2.950","25.0","10.0","30.0",".","30.0","5.0",".",".",".",".",".",".",".",".",".","."
"","130
001 305 6","17","2.469","5.9",".","23.5","17.6","35.3","11.8",".",".",".",".",".",".","5.9",".",".","."
"","130
001 307 6","19","2.474","10.5",".","31.6","10.5","36.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","130
001 308 6","19","3.026","26.3","10.5","31.6","5.3","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","130
001 309 6","18","2.824","22.2","5.6","22.2","5.6","33.3","5.6",".",".",".",".",".",".",".","5.6",".","."
"General Botany","Course Total","189","2.772","16.9","8.5","25.4","10.1","28.0","9.0","0.5",".",".",".",".",".","1.1","0.5",".","."
"","151
001 308 6","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001 307 6","4","2.833",".",".","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0","."
"","151
001 310 6","2","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","151
001 309 6","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","151
001 301 6","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001 302 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001 305 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001 303 6","4","2.250",".","25.0","25.0","25.0",".",".","25.0",".",".",".",".",".",".",".",".","."
"","151
001 304 6","7","3.429","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","24","2.848","16.7","4.2","45.8","8.3","16.7",".","4.2",".",".",".",".",".",".",".","4.2","."
"","151
002 318 6","2","2.500",".",".","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".","."
"","151
002 312 6","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
002 315 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
002 313 6","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","151
002 314 6","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
002 320 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","9","3.000","22.2",".","55.6",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","151
003 323 6","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","151
003 324 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
003 326 6","5","3.375","20.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","20.0"
"","151
003 327 6","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","151
003 322 6","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","151
003 328 6","3","2.500",".","33.3",".",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"","151
003 325 6","3","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
003 330 6","4","2.750",".",".","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","151
003 329 6","2","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","23","2.818","4.3","13.0","43.5","13.0","21.7",".",".",".",".",".",".",".",".",".",".","4.3"
"Introductory Biology","Course Total","56","2.861","12.5","7.1","46.4","8.9","17.9","1.8","1.8",".",".",".",".",".",".",".","1.8","1.8"
"","152
001 302 6","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
