"BACTERIOLOGY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"192
BACT","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","699
038","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","699
057","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","699
066","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","699
072","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","699
095","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Special Problems","Course Total","","14","3.944","92.9",".","7.1",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar","731
001","","56","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Mech Microbial Pathogenesis","740
001","","6","3.900","66.7","16.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".","16.7","."
"Special Topics","875
001","","18","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
003","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
004","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
005","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
006","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
008","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
009","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
011","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
013","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
014","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
018","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","901
019","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Advanced Seminar","Course Total","","25","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Smr-Molecular Biosci (Adv)","914
001","","12","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Biotechnol Traing Prgm Smr","932
001","","21","3.952","95.2",".","4.8",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","990
002","","6","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
003","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
006","","23","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
007","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
009","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
010","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
012","","11","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
014","","5","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
015","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
016","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
018","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
021","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
022","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
032","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
034","","5","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
042","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
044","","5","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
053","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
062","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
064","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
066","","4","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
073","","4","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","","Page 8 of 441"
