"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"320
E C E","","Grades","GPA","","","","","","","","","","","","","","","",""
"","376
001 303 6","6","2.917","16.7",".","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","376
001 306 6","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 306 6","5","3.300","40.0",".","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 305 6","8","2.813",".",".","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","376
001 312 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 313 6","4","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 313 6","6","2.667","16.7",".",".","66.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","376
001 305 6","5","3.100",".","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 304 6","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 304 6","11","3.182","9.1","36.4","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","160","3.073","18.1","15.6","38.1","18.8","6.3","1.3","0.6",".",".",".",".",".",".",".","1.3","."
"","377
001 308 6","3","2.833",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","377
001 307 6","6","3.083",".","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","377
001 308 6","9","2.111",".",".","33.3","44.4",".",".","22.2",".",".",".",".",".",".",".",".","."
"","377
001 303 6","3","1.833",".","33.3",".",".",".","33.3","33.3",".",".",".",".",".",".",".",".","."
"","377
001 301 6","7","2.643","14.3",".","28.6","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".","."
"","377
001 301 6","5","3.100","20.0",".","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","377
001 302 6","4","3.250","25.0",".","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","377
001 303 6","9","3.278","22.2","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","377
001 307 6","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","377
001 304 6","2","2.000",".",".",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".","."
"","377
001 304 6","11","2.727","27.3","9.1","9.1","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"","377
001 305 6","8","2.563",".","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","377
001 305 6","4","2.625","25.0",".",".","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".","."
"","377
001 306 6","10","3.150","20.0","30.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","377
001 306 6","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","377
001 302 6","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","97","2.840","13.4","19.6","26.8","18.6","11.3","6.2","4.1",".",".",".",".",".",".",".",".","."
"","399
013","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
021","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
026","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
051","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
066","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","7","3.917","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001 301","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","21","3.167","19.0","28.6","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","411
003","6","3.500",".","16.7",".",".",".",".",".",".",".",".",".",".","83.3",".",".","."
"Intro to Electric Drive Sys","Course Total","27","3.182","14.8","25.9","22.2","11.1","7.4",".",".",".",".",".",".",".","18.5",".",".","."
"Electromag Wave Transmissn","420
001","40","3.288","35.0","10.0","37.5","12.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","427
001","30","3.552","43.3","26.7","23.3",".","3.3",".",".",".",".",".",".",".",".",".","3.3","."
"","427
002","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","427
003","6","3.600","50.0",".","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","427
004","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Electric Power Systems","Course Total","38","3.529","42.1","21.1","23.7","2.6","2.6",".",".",".",".",".",".",".","5.3",".","2.6","."
"","431
001 301","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","75","2.887","13.3","18.7","21.3","25.3","18.7","2.7",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","Course Total","76","2.888","13.2","18.4","22.4","25.0","18.4","2.6",".",".",".",".",".",".",".",".",".","."
"Communication Systems I","436
001","26","3.192","19.2","23.1","34.6","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 116 of 441",""
