"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"CH E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","44","2.872","6.8","25.0","27.3","13.6","25.0",".",".",".","",".",".","",".",".","2.3",".",".","."
"Junior","","154","2.942","21.4","16.9","25.3","12.3","14.9","4.5","2.6",".","",".",".","",".",".","1.3",".","0.6","."
"Senior","","375","3.068","31.5","14.9","23.7","8.8","13.3","2.4","2.4",".","",".",".","",".",".","2.7",".","0.3","."
"Undergraduates","","574","3.014","26.8","16.2","24.4","10.1","14.8","2.8","2.3",".","",".",".","",".",".","2.3",".","0.3","."
"Special","","10","3.167","30.0","10.0","20.0","20.0","10.0",".",".",".","",".",".","",".",".","10.0",".",".","."
"Graduate","","211","3.498","29.9","9.0","9.0","1.9","2.8",".",".","34.1","",".","2.4","",".","10.0","0.9",".",".","."
"","Dept. Total","795","3.085","27.7","14.2","20.3","8.1","11.6","2.0","1.6","9.1","",".","0.6","",".","2.6","2.0",".","0.3","."
