"EGR","","","","","","","","","","","","","","","","","","",""
"ENGR MECHANICS & ASTRONAU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","N","NR","Other"
"346
E M A","Grades","GPA","","","","","","","","","","","","","","","","",""
"346
E M A
Dept. Total","738","2.945","21.5","13.4","27.1","13.1","15.9","3.5","2.0","2.3","0.1",".","",".","0.1","0.4",".","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Freshmen","17","2.765","23.5","5.9","17.6","29.4","11.8","5.9","5.9",".",".",".","",".",".",".",".",".","."
"Sophomore","231","2.877","21.2","11.3","25.5","13.4","21.6","5.2","1.7",".",".",".","",".",".",".",".",".","."
"Junior","180","2.926","18.9","16.7","30.0","15.0","14.4","2.8","2.2",".",".",".","",".",".",".",".",".","."
"Senior","215","2.950","21.9","12.6","31.2","13.0","15.8","2.8","1.9",".","0.5",".","",".",".","0.5",".",".","."
"Undergraduates","643","2.912","20.8","13.1","28.5","14.2","17.4","3.7","2.0",".","0.2",".","",".",".","0.2",".",".","."
"Special","12","2.708","16.7","8.3","33.3","16.7","8.3","8.3","8.3",".",".",".","",".",".",".",".",".","."
"Graduate","83","3.331","27.7","16.9","15.7","4.8","4.8","1.2","1.2","20.5",".",".","",".","1.2","2.4",".","3.6","."
"Dept. Total","738","2.945","21.5","13.4","27.1","13.1","15.9","3.5","2.0","2.3","0.1",".","",".","0.1","0.4",".","0.4","."
