"ENGR MECHANICS & ASTRONAU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"346
E M A","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3","",".",".","."
"","201
001 313","10","2.800","20.0","10.0","20.0","10.0","30.0","10.0",".",".",".",".",".",".","",".",".",".","."
"","201
001 301","9","2.556","11.1",".","22.2","22.2","22.2","22.2",".",".",".",".",".",".","",".",".",".","."
"","201
001 303","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","201
001 304","18","2.639","16.7","5.6","22.2",".","44.4","11.1",".",".",".",".",".",".","",".",".",".","."
"","201
001 305","10","2.800","20.0",".","40.0",".","30.0","10.0",".",".",".",".",".",".","",".",".",".","."
"","201
001 306","3","2.500",".",".","33.3","33.3","33.3",".",".",".",".",".",".",".","",".",".",".","."
"","201
001 307","15","2.967","33.3","6.7","20.0",".","33.3","6.7",".",".",".",".",".",".","",".",".",".","."
"","201
001 308","7","2.714","14.3","14.3","14.3","14.3","42.9",".",".",".",".",".",".",".","",".",".",".","."
"","201
001 309","7","2.643","28.6",".",".","14.3","42.9","14.3",".",".",".",".",".",".","",".",".",".","."
"","201
001 310","10","2.300","10.0",".",".","20.0","40.0","30.0",".",".",".",".",".",".","",".",".",".","."
"","201
001 312","2","2.750",".","50.0",".",".",".","50.0",".",".",".",".",".",".","",".",".",".","."
"","201
001 311","11","2.773","18.2",".","36.4","9.1","36.4",".",".",".",".",".",".",".","",".",".",".","."
"","Section Total","115","2.843","27.8","4.3","18.3","7.8","31.3","10.4",".",".",".",".",".",".","",".",".",".","."
"","201
002 313","8","2.438",".","12.5","50.0",".","12.5","12.5","12.5",".",".",".",".",".","",".",".",".","."
"","201
002 310","7","2.643","14.3",".","28.6","14.3","42.9",".",".",".",".",".",".",".","",".",".",".","."
"","201
002 311","8","3.000","25.0","12.5","25.0","12.5","25.0",".",".",".",".",".",".",".","",".",".",".","."
"","201
002 312","7","2.643","42.9",".",".","14.3","28.6",".","14.3",".",".",".",".",".","",".",".",".","."
"","201
002 301","11","3.091","27.3","9.1","36.4","9.1","9.1","9.1",".",".",".",".",".",".","",".",".",".","."
"","201
002 309","8","2.063","12.5",".","25.0","12.5","25.0",".","25.0",".",".",".",".",".","",".",".",".","."
"","201
002 308","10","2.300",".","10.0","10.0","10.0","40.0","30.0",".",".",".",".",".",".","",".",".",".","."
"","201
002 307","7","2.857","28.6",".","28.6",".","28.6","14.3",".",".",".",".",".",".","",".",".",".","."
"","201
002 306","11","2.409","18.2","9.1","27.3",".","27.3",".","18.2",".",".",".",".",".","",".",".",".","."
"","201
002 305","11","3.000","27.3","9.1","45.5","9.1",".",".","9.1",".",".",".",".",".","",".",".",".","."
"","201
002 304","5","3.000","20.0",".","60.0",".","20.0",".",".",".",".",".",".",".","",".",".",".","."
"","201
002 303","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Section Total","100","2.765","25.0","6.0","28.0","7.0","21.0","6.0","7.0",".",".",".",".",".","",".",".",".","."
"Statics","Course Total","215","2.807","26.5","5.1","22.8","7.4","26.5","8.4","3.3",".",".",".",".",".","",".",".",".","."
"","202
001","27","3.130","11.1","29.6","40.7","11.1","7.4",".",".",".",".",".",".",".","",".",".",".","."
"","202
002","24","2.875","8.3","20.8","20.8","37.5","12.5",".",".",".",".",".",".",".","",".",".",".","."
"","202
003","22","2.659","4.5","18.2","13.6","31.8","31.8",".",".",".",".",".",".",".","",".",".",".","."
"","202
004","24","2.688","8.3","20.8","8.3","41.7","16.7",".","4.2",".",".",".",".",".","",".",".",".","."
"","202
005","23","3.000","21.7","8.7","26.1","34.8","8.7",".",".",".",".",".",".",".","",".",".",".","."
"Dynamics","Course Total","120","2.879","10.8","20.0","22.5","30.8","15.0",".","0.8",".",".",".",".",".","",".",".",".","."
"","214
001 303","10","3.200","20.0","10.0","60.0","10.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","214
001 304","2","2.500",".",".","50.0",".",".","50.0",".",".",".",".",".",".","",".",".",".","."
"Statics & Mech of Materials","Course Total","12","3.083","16.7","8.3","58.3","8.3",".","8.3",".",".",".",".",".",".","",".",".",".","."
"","303
001","19","3.263","15.8","36.8","31.6","15.8",".",".",".",".",".",".",".",".","",".",".",".","."
"","303
002","19","2.763",".","26.3","36.8","21.1","10.5",".","5.3",".",".",".",".",".","",".",".",".","."
"","303
003","20","2.950","10.0","15.0","50.0","5.0","15.0","5.0",".",".",".",".",".",".","",".",".",".","."
"","303
004","20","2.925","10.0","10.0","50.0","15.0","10.0","5.0",".",".",".",".",".",".","",".",".",".","."
"Mechanics of Materials","Course Total","78","2.974","9.0","21.8","42.3","14.1","9.0","2.6","1.3",".",".",".",".",".","",".",".",".","."
"","304
001 304","1","0.000",".",".",".",".",".",".","100.0",".",".",".",".",".","",".",".",".","."
"","304
002 303","3","2.500",".",".","33.3","33.3",".","33.3",".",".",".",".",".",".","",".",".",".","."
"","304
002 304","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Section Total","4","2.625",".",".","50.0","25.0",".","25.0",".",".",".",".",".",".","",".",".",".","."
"","304
003 303","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","304
003 304","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 121 of 441",""
